//===================================================================================================================================
//Type 0 = Weapons
//Type 10 = Shield 
//Type 11 = Shield Elemental Elf
//===================================================================================================================================
0
//Section    Type   Option1   Option2  Option3   Option4  Option5    Option6   BonusOption    OptionRate   LuckRate   SkillRate
//Bloodangel Sword
0	     42	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     105	0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
0	     105	0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     105 	0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     105 	0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     105	0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
0	     105	0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Scepter
2	     22	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
2	     22	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     22	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     22	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     22	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     22	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Runic Mace
2	     32	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
2	     32	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     32	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     32	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     32	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
2	     32	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Lance
3	     19	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
3	     19	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
3	     19	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
3	     19	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
3	     19	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
3	     19	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Bow
4	     28	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
4	     28	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     28	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     28	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     28	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     28	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Quiver
4	     34	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
4	     34	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     34	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     34	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     34	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     34	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Magic Gun
4	     48	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
4	     48	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     48	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     48	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     48	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
4	     48	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Staff
5	     41	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
5	     41	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     41	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     41	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     41	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     41	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Stick
5	     43	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
5	     43	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     43	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     43	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     43	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     43	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Book of Bloodangel
5	     57	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
5	     57	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     57	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     57	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     57	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     57	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Blood Angel Magic Book
5	     73	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
5	     73	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     73	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     73	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     73	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     73	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Blood Angel Orb
5	     86	    0	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
5	     86	    0	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     86	    0	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     86	    0	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     86	    0	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
5	     86	    0	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Shield
6	     44	    10	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
6	     44	    10	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     44	    10	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     44	    10	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     44	    10	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     44	    10	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
//Bloodangel Elf Shield
6	     34	    11	      3	       *	 *	  *	     *	       *	      200000	   250000    1000000
6	     34	    11	      6	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     34	    11	      7	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     34	    11	      4	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     34	    11	      5	       *	 *	  *	     *	       *	      160000	   250000     1000000
6	     34	    11	      3	       6	 *	  *	     *	       *	      160000	   50000     1000000
end
