// 0: No Option
// 1: Attack Speed Increase +%d
// 2: Damage Increase +%d (General Damage/HP)
// 3: Defense +%d
// 4: Max HP Increase +%d
// 5: Max Mana Increase +%d
// 6: Exp Increase +d%
// 7: Drop Rate Increase %d%
// 8: Prevents exp from being gained
// 9: Strength Increase +%d
// 10: Agility Increase +%d
// 11: Vitality Increase +%d
// 12: Energy Increase +%d
// 13: Command Increase +%d
// 14: Increased attack power +%d
// 15: Wizard Damage Increase +%d
// 16: Free M Menu warping
// 22: Magic Defense Increase +%d
// 24: Damage Reflect Increase +%d
// 26: Attack Rate Decrease +%d
// 33: Min Wizardy Power Increase +%d
// 34: Max Wizardy Power Increase +%d
// 51: Increase Damage and Wizard Damage +%d% (Melee/Magic/Curse)
// 52: Damage absorption %d%
// 53: Automatic HP Recovery +%d%
// 54: Automatic Mana Recovery +%d%
// 55: Critical Damage +%d%
// 56: Excellent Damage +%d%
// 57: Melee/Wizardy/Curse Damage Increase +%d
// 58: Defense Increase +%d
// 60: Exp increase by %d% (regular only)
// 61: Possibility to obtain obtain rare items from monsters in Vulcanus
// 62: No penalty for dying (no loss of exp or items)
// 63: Items will not lose durability points for certain amount of time
// 64: Increase Zen by %d%
// 65: Maintains HP for certain amount of time (Mu Blue)
// 66: Increase Maximum AG + level by 10
// 67: Increase Maximum SD + level by 10
// 68: Increase Exp gain rate by up to %d% (depending on the number of people in party)
// 70: Max SD Increase +%d
// 71: Max AG Increase +%d
// 74: Defense Rate Increase +%d
// 75: Defense Rate Decrease +%d
// 87: Exp gain increase +%d% (Ascension Items, Normal/Master level usable)
// 88: Exp gain increase +%d% (Bless of Light, Normal/Master level usable)
//Index   DefenseA   IncDamageA   IncDamageB   DecDamageA   DecDamageB   RequireLevelA   Comment
6577      4          39           2            39           2            0               //[Bound]Wings of Ruin
6578      4          39           2            24           2            0               //[Bound]Cloak of Emperor
6579      4          39           2            39           2            0               //[Bound]Wings of Dimension
6580      4          39           2            39           2            0               //[Bound]Cloak of Overrule
6581      4          39           2            39           2            0               //[Bound]Cloak of Transcendence
6582      0          55           1            43           2            0               //[Bound]Angel Wings
6583      0          55           1            43           2            0               //[Bound]Devil Wings
6584      0          55           1            43           2            0               //[Bound]Genius Wings
6585      0          55           1            43           2            0               //[Bound]Destruction Wings
6586      0          55           1            37           2            0               //[Bound]Control Wings
6587      0          55           1            43           2            0               //[Bound]Eternal Wings
6588      0          55           1            43           2            0               //[Bound]Judgment Cloak
6589      0          55           1            43           2            0               //[Bound]Eternity Cloak
6611      4          39           2            39           2            0               //Wings of Disillusion
6612      4          39           2            39           2            0               //[Bound]Wings of Disillusion
6613      0          55           1            43           2            0               //Wings of Fate
6686      2          20           2            10           1            5               //Cloak of Lord
6616      4          39           2            39           2            0               //Wings of Silence
6617      4          39           2            39           2            0               //[Bound]Wings of Silence
6618      0          55           1            43           2            0               //Wings of Condemnation
6624      0          65           0            65           0            0               //Wing of Power
6633      4          39           2            39           2            0               //Wings of Hit
6640      4          39           2            39           2            0               //[Bound]Wings of Hit
6634      0          55           1            43           2            0               //Heavenly Wings
6316      2          12           2            12           2            0               //Small Iron Cloak 		(Small - IK)
6317      3          12           2            12           2            4               //Iron Cloak 				(Lv1 - IK)
6318      2          32           1            25           2            5               //Black Cloak 				(LV2 - IK)
6319      2          32           1            25           2            5               //[Bound] Black Cloak  	(LV2 Bound - IK)
6320      4          39           2            39           2            0               //Cloak of Death 			(LV3 - IK)	
6321      4          39           2            39           2            0               //[Bound] Cloak of Death 	(LV3 Bound - IK)
6322      0          55           1            43           2            0               //Abominable Cloak			(LV4 - IK)
end

