0
//Index   Name                                 Type   SuccessRate   ContinuanceTime   IncAndDecType   IncAndDecValue   NullifiedMagic   CharacterClass   CharacterLevel
61        "Monster Skill Element"              20     100           10                *               *                *                0                0
62        "Monster Skill Element"              19     100           10                *               10               *                0                0
63        "Monster Skill Element"              19     100           10                *               5                *                0                0
64        "Monster Skill Element"              9      100           10                *               3                *                0                0
65        "Monster Skill Element"              19     100           10                102             50               *                0                0
66        "Monster Skill Element"              9      100           10                *               4                *                0                0
67        "Monster Skill Element"              6      100           *                 1               150              *                0                0
68        "Monster Skill Element"              5      100           *                 1               150              *                0                0
69        "Monster Skill Element"              1      40            10                12              50               *                0                0
70        "Monster Skill Element"              5      100           10                2               20               *                0                0
71        "Monster Skill Element"              20     100           10                *               *                *                0                0
72        "Monster Skill Element"              20     100           10                *               *                *                0                0
73        "Monster Skill Element"              20     100           10                *               *                *                0                0
74        "Monster Skill Element"              0      20            3                 *               *                *                0                0
75        "Monster Skill Element"              2      80            20                12              100              *                0                0
76        "Monster Skill Element"              2      100           0                 12              500              *                0                0
77        "Monster Skill Element"              1      100           10                12              30               *                0                0
78        "Monster Skill Element"              20     100           10                *               *                *                0                0
79        "Monster Skill Element"              20     100           10                *               *                *                0                0
80        "Monster Skill Element"              20     100           10                *               *                *                0                0
81        "Monster Skill Element"              19     50            10                12              50               10               0                0
82        "Monster Skill Element"              20     100           10                *               *                *                0                0
83        "Monster Skill Element"              20     100           10                *               *                *                0                0
84        "Monster Skill Element"              20     100           10                *               *                *                0                0
85        "Monster Skill Element"              1      50            10                12              50               300              0                0
86        "Monster Skill Element"              20     100           10                *               *                *                0                0
87        "Monster Skill Element"              20     100           10                *               *                *                0                0
88        "Monster Skill Element"              20     100           10                *               *                *                0                0
89        "Monster Skill Element"              0      50            3                 *               *                300              0                0
90        "Monster Skill Element"              20     100           10                *               *                *                0                0
91        "Monster Skill Element"              20     100           10                *               *                *                0                0
92        "Monster Skill Element"              20     100           10                *               *                *                0                0
93        "Monster Skill Element"              9      100           10                *               5                300              0                0
94        "Monster Skill Element"              20     100           10                *               *                *                0                0
95        "Monster Skill Element"              20     100           10                *               *                *                0                0
96        "Monster Skill Element"              20     100           10                *               *                *                0                0
97        "Monster Skill Element"              2      100           0                 12              100              300              0                0
98        "Monster Skill Element"              20     100           10                *               *                500              0                0
99        "Monster Skill Element"              20     100           10                *               *                1800             0                0
100       "Monster Skill Element"              22     100           10                *               *                1800             0                0
97        "Monster Skill Element"              2      100           0                 12              100              300              0                0
98        "Monster Skill Element"              20     100           10                *               *                500              0                0
99        "Monster Skill Element"              20     100           10                *               *                1800             0                0
100       "Monster Skill Element"              22     100           10                *               *                1800             0                0
101       "Monster Skill Element"              8      100           0                 *               *                2000             0                0
102       "Monster Skill Element"              0      50            3                 *               *                *                0                0
103       "Monster Skill Element"              21     100           10                11              10000            *                0                0
104       "Monster Skill Element"              9      100           10                *               5                1800             0                0
105       "Monster Skill Element"              24     100           10                *               0                300              0                0
106       "Monster Skill Element"              24     100           10                *               20               300              0                0
107       "Monster Skill Element"              24     100           10                *               40               300              0                0
108       "Monster Skill Element"              23     100           10                *               10               300              0                0
109       "Monster Skill Element"              1      100           10                *               *                *                0                0
110       "Monster Skill Element"              20     100           10                *               *                *                0                0
111       "Monster Skill Element"              25     100           10                *               *                *                0                0
112       "Monster Skill Element"              28     100           10                *               *                *                0                0
113       "Monster Skill Element"              8      100           0                 *               1                *                0                0
114       "Monster Skill Element"              26     100           3600              *               100              *                0                0
115       "Monster Skill Element"              19     50            10                *               5                *                0                0
116       "Monster Skill Element"              9      100           10                *               5                *                0                0
117       "Monster Skill Element"              29     100           10                *               1                *                0                0
118       "Monster Skill Element"              30     100           10                *               1                6000             0                0
119       "Monster Skill Element"              31     100           10                *               1                *                0                0
120       "Monster Skill Element"              32     100           10                *               1                3000             0                0
121       "Monster Skill Element"              33     100           10                *               1                *                0                0
122       "Monster Skill Element"              20     100           10                *               1                *                0                0
123       "Monster Skill Element"              34     100           30                *               1                1000             0                0
124       "Monster Skill Element"              35     100           10                *               1                *                0                0
125       "Monster Skill Element"              36     100           60                *               1                *                0                0
126       "Monster Skill Element"              37     100           10                *               1                1000             0                0
127       "Monster Skill Element"              38     100           10                *               1                5000             0                0
128       "Monster Skill Element"              29     100           0                 *               *                0                0                0
129       "Monster Skill Element"              25     100           0                 *               *                *                0                0
130       "Monster Skill Element"              0      0             0                 *               *                *                0                0
131       "Monster Skill Element"              20     100           0                 *               *                *                0                0
132       "Monster Skill Element"              27     100           0                 0               10               1                0                0
133       "Monster Skill Element"              27     100           0                 0               20               2                0                0
134       "Monster Skill Element"              19     100           0                 *               *                *                0                0
135       "Monster Skill Element"              20     100           0                 *               *                *                0                0
136       "Monster Skill Element"              20     100           0                 *               *                300              0                0
137       "Monster Skill Element"              20     100           0                 *               *                300              0                0
125       "Monster Skill Element"              36     100           60                *               1                *                0                0
126       "Monster Skill Element"              37     100           10                *               1                1000             0                0
128       "Monster Skill Element"              29     100           0                 *               *                0                0                0
129       "Monster Skill Element"              25     100           0                 *               *                *                0                0
130       "Monster Skill Element"              0      0             0                 *               *                *                0                0
131       "Monster Skill Element"              20     100           0                 *               *                *                0                0
end
