0 
//Type 	 Slot 	 Skill 	 Width 	 Height 	 HaveSerial 	 HaveOption 	 DropItem 	 Name 						Level 	 DamageMin 	 DamageMax 	 AttackSpeed 	 Durability 	 MagicDurability 	 MagicDamageRate 	 ReqLevel 	 ReqStrength 	 ReqDexterity 	 ReqEnergy 	 ReqVitality 	 ReqLeadership 	DW 	 DK 	 FE 	 MG 	 DL 	 SU 	 RF 	 GL 	 RW 	 SL 	 GC
11 	 0 	 20 	 2 	 3 		 1 		 1 		 1 		 "Legendary Sword"				44 	 56 		 72 		 20 		 54 		 0 			 0 			 0 		 120 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
12 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Heliacal Sword"				56 	 73 		 98 		 25 		 66 		 0 			 0 			 0 		 140 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
13 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Double Blade"					48 	 48 		 56 		 30 		 43 		 0 			 0 			 0 		 70 		 70 		 0 		 0 		 0		0 	 1 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
14 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Lighting Sword"				59 	 59 		 67 		 30 		 50 		 0 			 0 			 0 		 90 		 50 		 0 		 0 		 0		0 	 1 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
15 	 0 	 23 	 2 	 3 		 1 		 1 		 1 		 "Giant Sword"					52 	 60 		 85 		 20 		 60 		 0 			 0 			 0 		 140 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
16 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Sword of Destruction"				82 	 82 		 90 		 35 		 84 		 0 			 0 			 0 		 160 		 60 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
17 	 0 	 23 	 2 	 4 		 1 		 1 		 1 		 "Dark Breaker"					104 	 128 		 153 		 40 		 89 		 0 			 0 			 0 		 180 		 50 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
18 	 0 	 23 	 2 	 3 		 1 		 1 		 1 		 "Thunder Blade"				105 	 140 		 168 		 40 		 86 		 0 			 0 			 0 		 180 		 50 		 0 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
19 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Divine Sword of the Archangel"		86 	 220 		 230 		 45 		 168 		 0 			 0 			 0 		 140 		 50 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
20 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Knight Blade"					140 	 107 		 115 		 35 		 90 		 0 			 0 			 0 		 116 		 38 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
21 	 0 	 56 	 2 	 4 		 1 		 1 		 1 		 "Dark Reign Blade"				140 	 115 		 142 		 40 		 100 		 0 			 115 			 0 		 116 		 53 		 9 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
22 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Bone Blade"					147 	 122 		 135 		 40 		 95 		 0 			 0 			 380 		 100 		 35 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
23 	 0 	 56 	 2 	 4 		 1 		 1 		 1 		 "Explosion Blade"				147 	 127 		 155 		 45 		 110 		 0 			 134 			 380 		 98 		 48 		 7 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
24 	 0 	 22 	 2 	 4 		 1 		 1 		 1 		 "Daybreak"					115 	 182 		 218 		 40 		 90 		 0 			 0 			 0 		 192 		 30 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
25 	 0 	 56 	 2 	 4 		 1 		 1 		 1 		 "Sword Dancer"					115 	 109 		 136 		 40 		 90 		 0 			 108 			 0 		 136 		 57 		 9 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
26 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Flameberge"					137 	 115 		 126 		 40 		 90 		 0 			 0 			 380 		 193 		 53 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
27 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Sword Breaker"				133 	 91 		 99 		 35 		 90 		 0 			 0 			 380 		 53 		 176 		 0 		 0 		 0		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
28 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Rune Bastard Sword"				139 	 98 		 122 		 45 		 90 		 0 			 109 			 380 		 91 		 73 		 17 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
29 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Sonic Blade"					149 	 109 		 116 		 35 		 80 		 0 			 0 			 400 		 49 		 162 		 0 		 0 		 0		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
30 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Asura"					149 	 115 		 140 		 45 		 90 		 0 			 112 			 400 		 86 		 70 		 16 		 0 		 0		0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
31 	 0 	 56 	 2 	 4 		 1 		 1 		 1 		 "Rune Blade"					100 	 104 		 130 		 35 		 93 		 0 			 104 			 0 		 135 		 62 		 9 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
32 	 0 	 260 	 1 	 2 		 1 		 1 		 1 		 "Sacred Glove"					52 	 52 		 58 		 25 		 65 		 0 			 0 			 0 		 85 		 35 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
33 	 0 	 261 	 1 	 2 		 1 		 1 		 1 		 "Holy Storm Claws"				82 	 82 		 88 		 30 		 77 		 0 			 0 			 0 		 100 		 50 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
34 	 0 	 260 	 1 	 2 		 1 		 1 		 1 		 "Piercing Blade Glove"				105 	 95 		 101 		 35 		 86 		 0 			 0 			 0 		 120 		 60 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
35 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Phoenix Soul Star"				147 	 122 		 128 		 40 		 98 		 0 			 0 			 380 		 101 		 51 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
36 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Cyclone Sword"				149 	 129 		 144 		 40 		 90 		 0 			 0 			 400 		 182 		 50 		 0 		 0 		 0		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
37 	 0 	 23 	 2 	 4 		 1 		 1 		 1 		 "Blast Break"					149 	 163 		 216 		 30 		 130 		 0 			 0 			 400 		 182 		 50 		 0 		 0 		 0		0 	 3 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
41 	 0 	 0 	 2 	 2 		 1 		 1 		 0 		 "Pandora Pick (two-handed)"			0 	 0 		 0 		 0 		 255 		 0 			 0 			 0 		 0 		 0 		 0 		 0 		 0		1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
42 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Bloodangel Sword"				150 	 252 		 263 		 40 		 100 		 0 			 0 			 400 		 165 		 51 		 125 		 0 		 0		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
44 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Bloodangel Magic Sword"			150 	 246 		 257 		 45 		 100 		 0 			 112 			 400 		 120 		 72 		 17 		 0 		 0		0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
46 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Bloodangel Claws"				150 	 147 		 157 		 35 		 100 		 0 			 0 			 400 		 95 		 30 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 
48 	 0 	 22 	 1 	 4 		 1 		 1 		 0 		 "Sword of Destruction (Bound)"			82 	 101 		 115 		 35 		 84 		 0 			 0 			 0 		 50 		 50 		 0 		 0 		 0		0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
49 	 0 	 23 	 2 	 3 		 1 		 1 		 0 		 "Thunder Blade (Bound)"			105 	 162 		 190 		 40 		 86 		 0 			 0 			 0 		 50 		 50 		 0 		 0 		 0		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
50 	 0 	 261 	 1 	 2 		 1 		 1 		 0 		 "Holy Storm Claws (Bound)"			82 	 87 		 95 		 30 		 77 		 0 			 0 			 0 		 50 		 50 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
51 	 0 	 22 	 1 	 4 		 1 		 1 		 0 		 "Blessed Divine Sword of the Archangel"	200 	 265 		 275 		 45 		 170 		 0 			 0 			 0 		 60 		 30 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
52 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Pantera Claws"				139 	 26 		 34 		 40 		 95 		 0 			 0 			 380 		 78 		 25 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
53 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Devast Claws"					149 	 35 		 46 		 40 		 95 		 0 			 0 			 400 		 82 		 28 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 
54 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Darkangel Sword"				160 	 302 		 313 		 40 		 100 		 0 			 0 			 600 		 165 		 51 		 120 		 0 		 0		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
55 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Darkangel Magic Sword"			160 	 300 		 311 		 45 		 100 		 0 			 118 			 600 		 120 		 72 		 17 		 0 		 0		0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
56 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Darkangel Claws"				160 	 214 		 224 		 35 		 100 		 0 			 0 			 600 		 95 		 30 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 
57 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Holyangel Sword"				180 	 365 		 376 		 40 		 100 		 0 			 0 			 800 		 152 		 47 		 111 		 0 		 0		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
58 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Holyangel Magic Sword"			180 	 364 		 375 		 45 		 100 		 0 			 125 			 800 		 111 		 67 		 16 		 0 		 0		0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
59 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Holyangel Claws"				180 	 277 		 287 		 35 		 100 		 0 			 0 			 800 		 88 		 28 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 	 0 	 0 	 0 
60 	 0 	 270 	 1 	 3 		 1 		 1 		 1 		 "Divine Claws of the Archangel"		100 	 121 		 130 		 35 		 160 		 0 			 0 			 0 		 68 		 23 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
61 	 0 	 270 	 1 	 3 		 1 		 1 		 0 		 "Blessed Divine Claws of the Archangel"	200 	 136 		 147 		 35 		 160 		 0 			 0 			 0 		 60 		 22 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
62 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Soul Sword"					200 	 428 		 439 		 40 		 100 		 0 			 0 			 900 		 141 		 44 		 103 		 0 		 0		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
63 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Soul Magic Sword"				200 	 427 		 438 		 45 		 100 		 0 			 133 			 900 		 103 		 62 		 15 		 0 		 0		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
64 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Soul Claws"					200 	 340 		 350 		 35 		 100 		 0 			 0 			 900 		 82 		 26 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
65 	 0 	 22 	 1 	 3 		 1 		 1 		 0 		 "Kukri Short Sword (Bound)"			82 	 100 		 110 		 40 		 85 		 0 			 0 			 0 		 47 		 47 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
66 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Flat Short Sword"				1 	 1 		 6 		 20 		 20 		 0 			 0 			 0 		 50 		 0 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
67 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Dakia Short Sword"				55 	 50 		 60 		 40 		 45 		 0 			 0 			 0 		 40 		 85 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
68 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Kukri Short Sword"				80 	 80 		 90 		 40 		 80 		 0 			 0 			 0 		 55 		 155 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
69 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Pairing Short Sword"				135 	 110 		 130 		 45 		 100 		 0 			 0 			 380 		 55 		 190 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 2 	 0 
70 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Novacula Short Sword"				148 	 130 		 140 		 45 		 100 		 0 			 0 			 400 		 53 		 185 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
71 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Bloodangel Short Sword"			150 	 250 		 260 		 45 		 100 		 0 			 0 			 400 		 53 		 175 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
72 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Darkangel Short Sword"			160 	 300 		 310 		 45 		 100 		 0 			 0 			 600 		 53 		 175 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
73 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Holyangel Short Sword"			180 	 360 		 370 		 45 		 100 		 0 			 0 			 800 		 49 		 162 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
74 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Soul Short Sword"				200 	 420 		 440 		 45 		 100 		 0 			 0 			 900 		 46 		 151 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
75 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Blue Eye Short Sword"				220 	 480 		 511 		 45 		 100 		 0 			 0 			 1000 		 192 		 610 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
76 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Divine Short Sword of the Archangel"		86 	 220 		 230 		 45 		 160 		 0 			 0 			 0 		 50 		 145 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
77 	 0 	 22 	 1 	 3 		 1 		 1 		 0 		 "Blessed Divine Short Sword of the Archangel"	200 	 260 		 270 		 45 		 170 		 0 			 0 			 0 		 25 		 55 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
78 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Blue Eye Sword"				220 	 492 		 502 		 40 		 100 		 0 			 0 			 1000 		 568 		 184 		 460 		 0 		 0		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
79 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Blue Eye Magic Sword"				220 	 491 		 501 		 45 		 100 		 0 			 140 			 1000 		 418 		 256 		 78 		 0 		 0		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
80 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Blue Eye Claw"				220 	 404 		 414 		 35 		 100 		 0 			 0 			 1000 		 335 		 113 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
81 	 0 	 22 	 1 	 4 		 1 		 1 		 1 		 "Silver Heart Sword"				240 	 556 		 567 		 40 		 100 		 0 			 0 			 1100 		 575 		 187 		 468 		 0 		 0		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
82 	 0 	 56 	 1 	 4 		 1 		 1 		 1 		 "Silver Heart Magic Sword"			240 	 555 		 565 		 45 		 100 		 0 			 149 			 1100 		 425 		 262 		 82 		 0 		 0		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
83 	 0 	 270 	 1 	 2 		 1 		 1 		 1 		 "Silver Heart Claw"				240 	 468 		 480 		 35 		 100 		 0 			 0 			 1100 		 340 		 114 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
84 	 0 	 22 	 1 	 3 		 1 		 1 		 1 		 "Silver Heart Short Sword"			240 	 540 		 583 		 45 		 100 		 0 			 0 			 1100 		 195 		 618 		 0 		 0 		 0		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
end

1 
//Type 	 Slot 	 Skill 	 Width 	 Height 	 HaveSerial 	 HaveOption 	 DropItem 	 Name 						Level 	 DamageMin 	 DamageMax 	 AttackSpeed 	 Durability 	 MagicDurability 	 MagicDamageRate 	 ReqLevel 	 ReqStrength 	 ReqDexterity 	 ReqEnergy 	 ReqVitality 	 ReqLeadership 	DW 	 DK 	 FE 	 MG 	 DL 	 SU 	 RF 	 GL 	 RW 	 SL 	 GC
0 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Small Axe"					1 	 1 		 6 		 20 		 18 		 0 			 0 			 0 		 50 		 0 		 0 		 0 		 0		1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 0 	 0 	 0 
1 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Hand Axe"					4 	 4 		 9 		 30 		 20 		 0 			 0 			 0 		 70 		 0 		 0 		 0 		 0		1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 0 	 0 	 0 
2 	 0 	 19 	 1 	 3 		 1 		 1 		 1 		 "Double Axe"					14 	 14 		 24 		 20 		 26 		 0 			 0 			 0 		 90 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
3 	 0 	 19 	 1 	 3 		 1 		 1 		 1 		 "Tomahawk"					18 	 18 		 28 		 30 		 28 		 0 			 0 			 0 		 100 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
4 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Elven Axe"					26 	 26 		 38 		 40 		 32 		 0 			 0 			 0 		 50 		 70 		 0 		 0 		 0		1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 
5 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Battle Axe"					30 	 36 		 44 		 20 		 36 		 0 			 0 			 0 		 120 		 0 		 0 		 0 		 0		0 	 1 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
6 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Nikea Axe"					34 	 38 		 50 		 30 		 44 		 0 			 0 			 0 		 130 		 0 		 0 		 0 		 0		0 	 1 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
7 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Larkan Axe"					46 	 54 		 67 		 25 		 55 		 0 			 0 			 0 		 140 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
8 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Crescent Axe"					54 	 69 		 89 		 30 		 65 		 0 			 0 			 0 		 100 		 40 		 0 		 0 		 0		1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
end

2 
//Type 	 Slot 	 Skill 	 Width 	 Height 	 HaveSerial 	 HaveOption 	 DropItem 	 Name 						Level 	 DamageMin 	 DamageMax 	 AttackSpeed 	 Durability 	 MagicDurability 	 MagicDamageRate 	 ReqLevel 	 ReqStrength 	 ReqDexterity 	 ReqEnergy 	 ReqVitality 	 ReqLeadership 	DW 	 DK 	 FE 	 MG 	 DL 	 SU 	 RF 	 GL 	 RW 	 SL 	 GC
0 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Mace"						7 	 7 		 13 		 15 		 21 		 0 			 0 			 0 		 100 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
1 	 0 	 19 	 1 	 3 		 1 		 1 		 1 		 "Morning Star"					13 	 13 		 22 		 15 		 25 		 0 			 0 			 0 		 100 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
2 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Flail"					22 	 22 		 32 		 15 		 32 		 0 			 0 			 0 		 80 		 50 		 0 		 0 		 0		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
3 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Great Hammer"					38 	 45 		 56 		 15 		 50 		 0 			 0 			 0 		 150 		 0 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
4 	 0 	 19 	 2 	 3 		 1 		 1 		 1 		 "Crystal Morning Star"				66 	 78 		 107 		 30 		 72 		 0 			 0 			 0 		 130 		 0 		 0 		 0 		 0		1 	 1 	 1 	 1 	 0 	 0 	 1 	 0 	 1 	 0 	 0 
5 	 0 	 23 	 2 	 4 		 1 		 1 		 1 		 "Crystal Sword"				72 	 89 		 120 		 40 		 76 		 0 			 0 			 0 		 130 		 70 		 0 		 0 		 0		1 	 1 	 1 	 1 	 0 	 0 	 0 	 0 	 1 	 0 	 0 
6 	 0 	 23 	 2 	 4 		 1 		 1 		 0 		 "Chaos Dragon Axe"				75 	 102 		 130 		 35 		 80 		 0 			 0 			 0 		 140 		 50 		 0 		 0 		 0		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
7 	 0 	 0 	 1 	 3 		 1 		 1 		 1 		 "Elemental Mace"				90 	 62 		 80 		 50 		 50 		 0 			 0 			 0 		 15 		 42 		 0 		 0 		 0		0 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
