//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
4         101           5             6147           6147           *             *             *             2               //Wings of Spirit
5         102           3             6147           6147           *             *             *             4               //Wings of Spirit
6         103           50            6147           6147           *             *             *             8               //Wings of Spirit
7         97            5             6147           6147           *             *             *             16              //Wings of Spirit
1         84            5             6148           6148           *             1             *             *               //Wings of Soul
2         85            1             6148           6148           *             *             1             *               //Wings of Soul
2         81            4             6148           6148           *             *             1             32              //Wings of Soul
3         100           5             6148           6148           *             *             *             1               //Wings of Soul
4         101           5             6148           6148           *             *             *             2               //Wings of Soul
5         102           3             6148           6148           *             *             *             4               //Wings of Soul
6         103           50            6148           6148           *             *             *             8               //Wings of Soul
7         97            5             6148           6148           *             *             *             16              //Wings of Soul
1         84            5             6149           6149           *             1             *             *               //Wings of Devil
2         85            1             6149           6149           *             *             1             *               //Wings of Devil
2         80            4             6149           6149           *             *             1             32              //Wings of Devil
3         100           5             6149           6149           *             *             *             1               //Wings of Devil
4         101           5             6149           6149           *             *             *             2               //Wings of Devil
5         102           3             6149           6149           *             *             *             4               //Wings of Devil
6         103           50            6149           6149           *             *             *             8               //Wings of Devil
7         97            5             6149           6149           *             *             *             16              //Wings of Devil
1         84            5             6150           6150           *             1             *             *               //Wings of Darkness
2         81            4             6150           6150           *             *             1             *               //Wings of Darkness
2         80            4             6150           6150           *             *             1             32              //Wings of Darkness
3         100           5             6150           6150           *             *             *             1               //Wings of Darkness
4         101           5             6150           6150           *             *             *             2               //Wings of Darkness
5         102           3             6150           6150           *             *             *             4               //Wings of Darkness
6         103           50            6150           6150           *             *             *             8               //Wings of Darkness
7         97            5             6150           6150           *             *             *             16              //Wings of Darkness
1         84            5             6180           6180           *             1             *             *               //Wings of Storm
2         85            1             6180           6180           *             *             1             *               //Wings of Storm
2         80            4             6180           6180           *             *             1             16              //Wings of Storm
2         83            4             6180           6180           *             *             1             32              //Wings of Storm
3         102           5             6180           6180           *             *             *             1               //Wings of Storm
4         109           5             6180           6180           *             *             *             2               //Wings of Storm
5         110           5             6180           6180           *             *             *             4               //Wings of Storm
6         111           5             6180           6180           *             *             *             8               //Wings of Storm
1         84            5             6181           6181           *             1             *             *               //Wings of Space Time
2         85            1             6181           6181           *             *             1             *               //Wings of Space Time
2         81            4             6181           6181           *             *             1             16              //Wings of Space Time
2         83            4             6181           6181           *             *             1             32              //Wings of Space Time
3         102           5             6181           6181           *             *             *             1               //Wings of Space Time
4         109           5             6181           6181           *             *             *             2               //Wings of Space Time
5         110           5             6181           6181           *             *             *             4               //Wings of Space Time
6         111           5             6181           6181           *             *             *             8               //Wings of Space Time
1         84            5             6182           6182           *             1             *             *               //Wings of Illusion
2         85            1             6182           6182           *             *             1             *               //Wings of Illusion
2         80            4             6182           6182           *             *             1             16              //Wings of Illusion
2         83            4             6182           6182           *             *             1             32              //Wings of Illusion
3         102           5             6182           6182           *             *             *             1               //Wings of Illusion
4         109           5             6182           6182           *             *             *             2               //Wings of Illusion
5         110           5             6182           6182           *             *             *             4               //Wings of Illusion
6         111           5             6182           6182           *             *             *             8               //Wings of Illusion
1         84            5             6183           6183           *             1             *             *               //Wings of Hurricane
2         85            1             6183           6183           *             *             1             *               //Wings of Hurricane
2         80            4             6183           6183           *             *             1             16              //Wings of Hurricane
2         81            4             6183           6183           *             *             1             32              //Wings of Hurricane
3         102           5             6183           6183           *             *             *             1               //Wings of Hurricane
4         109           5             6183           6183           *             *             *             2               //Wings of Hurricane
5         110           5             6183           6183           *             *             *             4               //Wings of Hurricane
6         111           5             6183           6183           *             *             *             8               //Wings of Hurricane
1         84            5             6184           6184           *             1             *             *               //Mantle of Monarch
2         85            1             6184           6184           *             *             1             *               //Mantle of Monarch
2         80            4             6184           6184           *             *             1             16              //Mantle of Monarch
2         83            4             6184           6184           *             *             1             32              //Mantle of Monarch
3         102           5             6184           6184           *             *             *             1               //Mantle of Monarch
4         109           5             6184           6184           *             *             *             2               //Mantle of Monarch
5         110           5             6184           6184           *             *             *             4               //Mantle of Monarch
6         111           5             6184           6184           *             *             *             8               //Mantle of Monarch
1         84            5             6185           6185           *             1             *             *               //Wings of Misery
2         81            4             6185           6185           *             *             1             *               //Wings of Misery
1         84            5             6186           6186           *             1             *             *               //Wings of Despair
2         81            4             6186           6186           *             *             1             *               //Wings of Despair
2         113           4             6186           6186           *             *             1             32              //Wings of Despair
3         100           5             6186           6186           *             *             *             1               //Wings of Despair
4         101           5             6186           6186           *             *             *             2               //Wings of Despair
5         102           3             6186           6186           *             *             *             4               //Wings of Despair
6         103           50            6186           6186           *             *             *             8               //Wings of Despair
7         97            5             6186           6186           *             *             *             16              //Wings of Despair
1         84            5             6187           6187           *             1             *             *               //Wings of Violent Wind
2         85            1             6187           6187           *             *             1             *               //Wings of Violent Wind
2         81            4             6187           6187           *             *             1             16              //Wings of Violent Wind
2         113           4             6187           6187           *             *             1             32              //Wings of Violent Wind
3         102           5             6187           6187           *             *             *             1               //Wings of Violent Wind
4         109           5             6187           6187           *             *             *             2               //Wings of Violent Wind
5         110           5             6187           6187           *             *             *             4               //Wings of Violent Wind
6         111           5             6187           6187           *             *             *             8               //Wings of Violent Wind
1         84            5             6193           6193           *             1             *             *               //Cloak of Fighter
2         80            4             6193           6193           *             *             1             *               //Cloak of Fighter
3         100           5             6193           6193           *             *             *             1               //Cloak of Fighter
4         101           5             6193           6193           *             *             *             2               //Cloak of Fighter
5         102           3             6193           6193           *             *             *             4               //Cloak of Fighter
6         103           50            6193           6193           *             *             *             8               //Cloak of Fighter
7         97            5             6193           6193           *             *             *             16              //Cloak of Fighter
1         84            5             6194           6194           *             1             *             *               //Mantle of Warrior
2         85            1             6194           6194           *             *             1             *               //Mantle of Warrior
2         80            4             6194           6194           *             *             1             16              //Mantle of Warrior
2         83            4             6194           6194           *             *             1             32              //Mantle of Warrior
3         102           5             6194           6194           *             *             *             1               //Mantle of Warrior
4         109           5             6194           6194           *             *             *             2               //Mantle of Warrior
5         110           5             6194           6194           *             *             *             4               //Mantle of Warrior
6         111           5             6194           6194           *             *             *             8               //Mantle of Warrior
1         84            5             6406           6406           *             1             *             *               //Cloak of Death
2         85            1             6406           6406           *             *             1             *               //Cloak of Death
2         80            4             6406           6406           *             *             1             16              //Cloak of Death
3         102           3             6406           6406           *             *             *             1               //Cloak of Death
4         110           5             6406           6406           *             *             *             2               //Cloak of Death
1         84            5             6407           6407           *             1             *             *               //Wings of Chaos
2         85            1             6407           6407           *             *             1             *               //Wings of Chaos
2         80            4             6407           6407           *             *             1             16              //Wings of Chaos
3         102           3             6407           6407           *             *             *             1               //Wings of Chaos
4         110           5             6407           6407           *             *             *             2               //Wings of Chaos
1         84            5             6408           6408           *             1             *             *               //Wings of Magic
2         113           4             6408           6408           *             *             1             *               //Wings of Magic
2         81            4             6408           6408           *             *             1             16              //Wings of Magic
3         102           3             6408           6408           *             *             *             1               //Wings of Magic
4         110           5             6408           6408           *             *             *             2               //Wings of Magic
1         84            5             6409           6409           *             1             *             *               //Wings of Life
2         85            1             6409           6409           *             *             1             *               //Wings of Life
2         80            4             6409           6409           *             *             1             16              //Wings of Life
3         102           3             6409           6409           *             *             *             1               //Wings of Life
4         110           5             6409           6409           *             *             *             2               //Wings of Life
1         84            5             6410           6410           *             1             *             *               //Wings of Conqueror
2         85            1             6410           6410           *             *             1             *               //Wings of Conqueror
3         102           5             6410           6410           *             *             *             1               //Wings of Conqueror
4         109           5             6410           6410           *             *             *             2               //Wings of Conqueror
5         110           5             6410           6410           *             *             *             4               //Wings of Conqueror
1         84            5             6411           6411           *             1             *             *               //Wings of Angel and Devil
3         116           4             6411           6411           *             *             *             1               //Wings of Angel and Devil
4         102           4             6411           6411           *             *             *             2               //Wings of Angel and Devil
5         110           4             6411           6411           *             *             *             4               //Wings of Angel and Devil
1         84            5             6412           6412           *             1             *             *               //Wings of Conqueror
2         85            1             6412           6412           *             *             1             *               //Wings of Conqueror
3         102           5             6412           6412           *             *             *             1               //Wings of Conqueror
4         109           5             6412           6412           *             *             *             2               //Wings of Conqueror
5         110           5             6412           6412           *             *             *             4               //Wings of Conqueror
1         84            5             6413           6413           *             1             *             *               //Cloak of Limit
2         80            4             6413           6413           *             *             1             *               //Cloak of Limit
3         100           5             6413           6413           *             *             *             1               //Cloak of Limit
4         101           5             6413           6413           *             *             *             2               //Cloak of Limit
5         102           3             6413           6413           *             *             *             4               //Cloak of Limit
6         103           50            6413           6413           *             *             *             8               //Cloak of Limit
7         97            5             6413           6413           *             *             *             16              //Cloak of Limit
1         84            5             6414           6414           *             1             *             *               //Cloak of Transcendence
2         85            1             6414           6414           *             *             1             *               //Cloak of Transcendence
2         80            4             6414           6414           *             *             1             16              //Cloak of Transcendence
2         83            4             6414           6414           *             *             1             32              //Cloak of Transcendence
3         102           5             6414           6414           *             *             *             1               //Cloak of Transcendence
4         109           5             6414           6414           *             *             *             2               //Cloak of Transcendence
5         110           5             6414           6414           *             *             *             4               //Cloak of Transcendence
6         111           5             6414           6414           *             *             *             8               //Cloak of Transcendence
1         84            5             6423           6423           *             1             *             *               //Cloak of Death (Bound)
2         85            1             6423           6423           *             *             1             *               //Cloak of Death (Bound)
2         80            4             6423           6423           *             *             1             16              //Cloak of Death (Bound)
3         102           3             6423           6423           *             *             *             1               //Cloak of Death (Bound)
4         110           5             6423           6423           *             *             *             2               //Cloak of Death (Bound)
1         84            5             6424           6424           *             1             *             *               //Wings of Chaos (Bound)
2         85            1             6424           6424           *             *             1             *               //Wings of Chaos (Bound)
2         80            4             6424           6424           *             *             1             16              //Wings of Chaos (Bound)
3         102           3             6424           6424           *             *             *             1               //Wings of Chaos (Bound)
4         110           5             6424           6424           *             *             *             2               //Wings of Chaos (Bound)
1         84            5             6425           6425           *             1             *             *               //Wings of Magic (Bound)
2         113           4             6425           6425           *             *             1             *               //Wings of Magic (Bound)
2         81            4             6425           6425           *             *             1             16              //Wings of Magic (Bound)
3         102           3             6425           6425           *             *             *             1               //Wings of Magic (Bound)
4         110           5             6425           6425           *             *             *             2               //Wings of Magic (Bound)
1         84            5             6426           6426           *             1             *             *               //Wings of Life (Bound)
2         85            1             6426           6426           *             *             1             *               //Wings of Life (Bound)
2         80            4             6426           6426           *             *             1             16              //Wings of Life (Bound)
3         102           3             6426           6426           *             *             *             1               //Wings of Life (Bound)
4         110           5             6426           6426           *             *             *             2               //Wings of Life (Bound)
1         84            5             6558           6558           *             1             *             *               //Wings of Heaven
2         85            1             6558           6558           *             *             1             *               //Wings of Heaven
2         81            4             6558           6558           *             *             1             16              //Wings of Heaven
2         83            4             6558           6558           *             *             1             32              //Wings of Heaven
1         84            5             6559           6559           *             1             *             *               //Wings of Flame God
2         85            1             6559           6559           *             *             1             *               //Wings of Flame God
2         80            4             6559           6559           *             *             1             16              //Wings of Flame God
2         83            4             6559           6559           *             *             1             32              //Wings of Flame God
1         84            5             6560           6560           *             1             *             *               //Wings of Celestial Body
2         85            1             6560           6560           *             *             1             *               //Wings of Celestial Body
2         80            4             6560           6560           *             *             1             16              //Wings of Celestial Body
2         83            4             6560           6560           *             *             1             32              //Wings of Celestial Body
1         84            5             6561           6561           *             1             *             *               //Wings of Annihilation
2         85            1             6561           6561           *             *             1             *               //Wings of Annihilation
2         80            4             6561           6561           *             *             1             16              //Wings of Annihilation
2         81            4             6561           6561           *             *             1             32              //Wings of Annihilation
1         84            5             6562           6562           *             1             *             *               //Cloak of Dominator
2         85            1             6562           6562           *             *             1             *               //Cloak of Dominator
2         80            4             6562           6562           *             *             1             16              //Cloak of Dominator
2         83            4             6562           6562           *             *             1             32              //Cloak of Dominator
1         84            5             6563           6563           *             1             *             *               //Wings of Other World
2         85            1             6563           6563           *             *             1             *               //Wings of Other World
2         81            4             6563           6563           *             *             1             16              //Wings of Other World
2         113           4             6563           6563           *             *             1             32              //Wings of Other World
1         84            5             6564           6564           *             1             *             *               //Cloak of Judgment
2         85            1             6564           6564           *             *             1             *               //Cloak of Judgment
2         80            4             6564           6564           *             *             1             16              //Cloak of Judgment
2         83            4             6564           6564           *             *             1             32              //Cloak of Judgment
1         84            5             6565           6565           *             1             *             *               //Cloak of Isolation
2         85            1             6565           6565           *             *             1             *               //Cloak of Isolation
2         80            4             6565           6565           *             *             1             16              //Cloak of Isolation
2         83            4             6565           6565           *             *             1             32              //Cloak of Isolation
1         84            5             6566           6566           *             1             *             *               //[Bound]Wings of Soul
2         85            1             6566           6566           *             *             1             *               //[Bound]Wings of Soul
2         81            4             6566           6566           *             *             1             32              //[Bound]Wings of Soul
3         100           5             6566           6566           *             *             *             1               //[Bound]Wings of Soul
4         101           5             6566           6566           *             *             *             2               //[Bound]Wings of Soul
5         102           3             6566           6566           *             *             *             4               //[Bound]Wings of Soul
6         103           50            6566           6566           *             *             *             8               //[Bound]Wings of Soul
7         97            5             6566           6566           *             *             *             16              //[Bound]Wings of Soul
1         84            5             6567           6567           *             1             *             *               //[Bound]Wings of Dragon
2         85            1             6567           6567           *             *             1             *               //[Bound]Wings of Dragon
2         80            4             6567           6567           *             *             1             32              //[Bound]Wings of Dragon
3         100           5             6567           6567           *             *             *             1               //[Bound]Wings of Dragon
4         101           5             6567           6567           *             *             *             2               //[Bound]Wings of Dragon
5         102           3             6567           6567           *             *             *             4               //[Bound]Wings of Dragon
6         103           50            6567           6567           *             *             *             8               //[Bound]Wings of Dragon
7         97            5             6567           6567           *             *             *             16              //[Bound]Wings of Dragon
1         84            5             6568           6568           *             1             *             *               //[Bound]Wings of Spirits
2         80            4             6568           6568           *             *             1             *               //[Bound]Wings of Spirits
2         85            1             6568           6568           *             *             1             32              //[Bound]Wings of Spirits
3         100           5             6568           6568           *             *             *             1               //[Bound]Wings of Spirits
4         101           5             6568           6568           *             *             *             2               //[Bound]Wings of Spirits
5         102           3             6568           6568           *             *             *             4               //[Bound]Wings of Spirits
6         103           50            6568           6568           *             *             *             8               //[Bound]Wings of Spirits
7         97            5             6568           6568           *             *             *             16              //[Bound]Wings of Spirits
1         84            5             6569           6569           *             1             *             *               //[Bound]Wings of Darkness
2         81            4             6569           6569           *             *             1             *               //[Bound]Wings of Darkness
2         80            4             6569           6569           *             *             1             32              //[Bound]Wings of Darkness
3         100           5             6569           6569           *             *             *             1               //[Bound]Wings of Darkness
4         101           5             6569           6569           *             *             *             2               //[Bound]Wings of Darkness
5         102           3             6569           6569           *             *             *             4               //[Bound]Wings of Darkness
6         103           50            6569           6569           *             *             *             8               //[Bound]Wings of Darkness
7         97            5             6569           6569           *             *             *             16              //[Bound]Wings of Darkness
1         84            5             6570           6570           *             1             *             *               //[Bound]Cloak of Lord
2         80            4             6570           6570           *             *             1             *               //[Bound]Cloak of Lord
3         100           5             6570           6570           *             *             *             1               //[Bound]Cloak of Lord
4         101           5             6570           6570           *             *             *             2               //[Bound]Cloak of Lord
5         102           3             6570           6570           *             *             *             4               //[Bound]Cloak of Lord
6         105           5             6570           6570           *             *             *             8               //[Bound]Cloak of Lord
1         84            5             6571           6571           *             1             *             *               //[Bound]Wings of Despair
2         81            4             6571           6571           *             *             1             *               //[Bound]Wings of Despair
2         113           4             6571           6571           *             *             1             32              //[Bound]Wings of Despair
3         100           5             6571           6571           *             *             *             1               //[Bound]Wings of Despair
4         101           5             6571           6571           *             *             *             2               //[Bound]Wings of Despair
5         102           3             6571           6571           *             *             *             4               //[Bound]Wings of Despair
6         103           50            6571           6571           *             *             *             8               //[Bound]Wings of Despair
7         97            5             6571           6571           *             *             *             16              //[Bound]Wings of Despair
1         84            5             6572           6572           *             1             *             *               //[Bound]Cloak of Fighter
2         80            4             6572           6572           *             *             1             *               //[Bound]Cloak of Fighter
3         100           5             6572           6572           *             *             *             1               //[Bound]Cloak of Fighter
4         101           5             6572           6572           *             *             *             2               //[Bound]Cloak of Fighter
5         102           3             6572           6572           *             *             *             4               //[Bound]Cloak of Fighter
6         103           50            6572           6572           *             *             *             8               //[Bound]Cloak of Fighter
7         97            5             6572           6572           *             *             *             16              //[Bound]Cloak of Fighter
1         84            5             6573           6573           *             1             *             *               //[Bound]Cloak of Limit
2         80            4             6573           6573           *             *             1             *               //[Bound]Cloak of Limit
3         100           5             6573           6573           *             *             *             1               //[Bound]Cloak of Limit
4         101           5             6573           6573           *             *             *             2               //[Bound]Cloak of Limit
5         102           3             6573           6573           *             *             *             4               //[Bound]Cloak of Limit
6         103           50            6573           6573           *             *             *             8               //[Bound]Cloak of Limit
7         97            5             6573           6573           *             *             *             16              //[Bound]Cloak of Limit
1         84            5             6574           6574           *             1             *             *               //[Bound]Wings of Eternal
2         85            1             6574           6574           *             *             1             *               //[Bound]Wings of Eternal
2         81            4             6574           6574           *             *             1             16              //[Bound]Wings of Eternal
2         83            4             6574           6574           *             *             1             32              //[Bound]Wings of Eternal
3         102           5             6574           6574           *             *             *             1               //[Bound]Wings of Eternal
4         109           5             6574           6574           *             *             *             2               //[Bound]Wings of Eternal
5         110           5             6574           6574           *             *             *             4               //[Bound]Wings of Eternal
6         111           5             6574           6574           *             *             *             8               //[Bound]Wings of Eternal
1         84            5             6575           6575           *             1             *             *               //[Bound]Wings of Storm
2         85            1             6575           6575           *             *             1             *               //[Bound]Wings of Storm
2         80            4             6575           6575           *             *             1             16              //[Bound]Wings of Storm
2         83            4             6575           6575           *             *             1             32              //[Bound]Wings of Storm
3         102           5             6575           6575           *             *             *             1               //[Bound]Wings of Storm
4         109           5             6575           6575           *             *             *             2               //[Bound]Wings of Storm
5         110           5             6575           6575           *             *             *             4               //[Bound]Wings of Storm
6         111           5             6575           6575           *             *             *             8               //[Bound]Wings of Storm
1         84            5             6576           6576           *             1             *             *               //[Bound]Wings of Illusion
2         85            1             6576           6576           *             *             1             *               //[Bound]Wings of Illusion
2         80            4             6576           6576           *             *             1             16              //[Bound]Wings of Illusion
2         83            4             6576           6576           *             *             1             32              //[Bound]Wings of Illusion
3         102           5             6576           6576           *             *             *             1               //[Bound]Wings of Illusion
4         109           5             6576           6576           *             *             *             2               //[Bound]Wings of Illusion
5         110           5             6576           6576           *             *             *             4               //[Bound]Wings of Illusion
6         111           5             6576           6576           *             *             *             8               //[Bound]Wings of Illusion
1         84            5             6577           6577           *             1             *             *               //[Bound]Wings of Ruin
2         85            1             6577           6577           *             *             1             *               //[Bound]Wings of Ruin
2         80            4             6577           6577           *             *             1             16              //[Bound]Wings of Ruin
2         81            4             6577           6577           *             *             1             32              //[Bound]Wings of Ruin
3         102           5             6577           6577           *             *             *             1               //[Bound]Wings of Ruin
4         109           5             6577           6577           *             *             *             2               //[Bound]Wings of Ruin
5         110           5             6577           6577           *             *             *             4               //[Bound]Wings of Ruin
6         111           5             6577           6577           *             *             *             8               //[Bound]Wings of Ruin
1         84            5             6578           6578           *             1             *             *               //[Bound]Cloak of Emperor
2         85            1             6578           6578           *             *             1             *               //[Bound]Cloak of Emperor
2         80            4             6578           6578           *             *             1             16              //[Bound]Cloak of Emperor
2         83            4             6578           6578           *             *             1             32              //[Bound]Cloak of Emperor
3         102           5             6578           6578           *             *             *             1               //[Bound]Cloak of Emperor
4         109           5             6578           6578           *             *             *             2               //[Bound]Cloak of Emperor
5         110           5             6578           6578           *             *             *             4               //[Bound]Cloak of Emperor
6         111           5             6578           6578           *             *             *             8               //[Bound]Cloak of Emperor
1         84            5             6579           6579           *             1             *             *               //[Bound]Wings of Dimension
2         85            1             6579           6579           *             *             1             *               //[Bound]Wings of Dimension
2         81            4             6579           6579           *             *             1             16              //[Bound]Wings of Dimension
2         113           4             6579           6579           *             *             1             32              //[Bound]Wings of Dimension
3         102           5             6579           6579           *             *             *             1               //[Bound]Wings of Dimension
4         109           5             6579           6579           *             *             *             2               //[Bound]Wings of Dimension
5         110           5             6579           6579           *             *             *             4               //[Bound]Wings of Dimension
6         111           5             6579           6579           *             *             *             8               //[Bound]Wings of Dimension
1         84            5             6580           6580           *             1             *             *               //[Bound]Cloak of Overrule
2         85            1             6580           6580           *             *             1             *               //[Bound]Cloak of Overrule
2         80            4             6580           6580           *             *             1             16              //[Bound]Cloak of Overrule
2         83            4             6580           6580           *             *             1             32              //[Bound]Cloak of Overrule
3         102           5             6580           6580           *             *             *             1               //[Bound]Cloak of Overrule
4         109           5             6580           6580           *             *             *             2               //[Bound]Cloak of Overrule
5         110           5             6580           6580           *             *             *             4               //[Bound]Cloak of Overrule
6         111           5             6580           6580           *             *             *             8               //[Bound]Cloak of Overrule
1         84            5             6581           6581           *             1             *             *               //[Bound]Cloak of Transcendence
2         85            1             6581           6581           *             *             1             *               //[Bound]Cloak of Transcendence
2         80            4             6581           6581           *             *             1             16              //[Bound]Cloak of Transcendence
2         83            4             6581           6581           *             *             1             32              //[Bound]Cloak of Transcendence
3         102           5             6581           6581           *             *             *             1               //[Bound]Cloak of Transcendence
4         109           5             6581           6581           *             *             *             2               //[Bound]Cloak of Transcendence
5         110           5             6581           6581           *             *             *             4               //[Bound]Cloak of Transcendence
6         111           5             6581           6581           *             *             *             8               //[Bound]Cloak of Transcendence
1         84            5             6582           6582           *             1             *             *               //[Bound]Angel Wings
2         85            1             6582           6582           *             *             1             *               //[Bound]Angel Wings
2         81            4             6582           6582           *             *             1             16              //[Bound]Angel Wings
2         83            4             6582           6582           *             *             1             32              //[Bound]Angel Wings
1         84            5             6583           6583           *             1             *             *               //[Bound]Devil Wings
2         85            1             6583           6583           *             *             1             *               //[Bound]Devil Wings
2         80            4             6583           6583           *             *             1             16              //[Bound]Devil Wings
2         83            4             6583           6583           *             *             1             32              //[Bound]Devil Wings
1         84            5             6584           6584           *             1             *             *               //[Bound]Genius Wings
2         85            1             6584           6584           *             *             1             *               //[Bound]Genius Wings
2         80            4             6584           6584           *             *             1             16              //[Bound]Genius Wings
2         83            4             6584           6584           *             *             1             32              //[Bound]Genius Wings
1         84            5             6585           6585           *             1             *             *               //[Bound]Destruction Wings
2         85            1             6585           6585           *             *             1             *               //[Bound]Destruction Wings
2         80            4             6585           6585           *             *             1             16              //[Bound]Destruction Wings
2         81            4             6585           6585           *             *             1             32              //[Bound]Destruction Wings
1         84            5             6586           6586           *             1             *             *               //[Bound]Control Wings
2         85            1             6586           6586           *             *             1             *               //[Bound]Control Wings
2         80            4             6586           6586           *             *             1             16              //[Bound]Control Wings
2         83            4             6586           6586           *             *             1             32              //[Bound]Control Wings
1         84            5             6587           6587           *             1             *             *               //[Bound]Eternal Wings
2         85            1             6587           6587           *             *             1             *               //[Bound]Eternal Wings
2         81            4             6587           6587           *             *             1             16              //[Bound]Eternal Wings
2         113           4             6587           6587           *             *             1             32              //[Bound]Eternal Wings
1         84            5             6588           6588           *             1             *             *               //[Bound]Judgment Cloak
2         85            1             6588           6588           *             *             1             *               //[Bound]Judgment Cloak
2         80            4             6588           6588           *             *             1             16              //[Bound]Judgment Cloak
2         83            4             6588           6588           *             *             1             32              //[Bound]Judgment Cloak
1         84            5             6589           6589           *             1             *             *               //[Bound]Eternity Cloak
2         85            1             6589           6589           *             *             1             *               //[Bound]Eternity Cloak
2         80            4             6589           6589           *             *             1             16              //[Bound]Eternity Cloak
2         83            4             6589           6589           *             *             1             32              //[Bound]Eternity Cloak
9         80            20            6609           6609           *             *             *             *               //Baseball Player Transf. Ring
10        81            20            6609           6609           *             *             *             *               //Baseball Player Transf. Ring
9         83            20            6610           6610           *             *             *             *               //Cheerleader Transform Ring
1         84            5             6611           6611           *             1             *             *               //Wings of Disillusion
2         85            1             6611           6611           *             *             1             *               //Wings of Disillusion
2         81            4             6611           6611           *             *             1             16              //Wings of Disillusion
2         83            4             6611           6611           *             *             1             32              //Wings of Disillusion
3         102           5             6611           6611           *             *             *             1               //Wings of Disillusion
4         109           5             6611           6611           *             *             *             2               //Wings of Disillusion
5         110           5             6611           6611           *             *             *             4               //Wings of Disillusion
6         111           5             6611           6611           *             *             *             8               //Wings of Disillusion
1         84            5             6612           6612           *             1             *             *               //[Bound]Wings of Disillusion
2         85            1             6612           6612           *             *             1             *               //[Bound]Wings of Disillusion
2         81            4             6612           6612           *             *             1             16              //[Bound]Wings of Disillusion
2         83            4             6612           6612           *             *             1             32              //[Bound]Wings of Disillusion
3         102           5             6612           6612           *             *             *             1               //[Bound]Wings of Disillusion
4         109           5             6612           6612           *             *             *             2               //[Bound]Wings of Disillusion
5         110           5             6612           6612           *             *             *             4               //[Bound]Wings of Disillusion
