0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     20     5        0
1         *      *       *     *     0      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     20     25       0
3         *      *       *     *     0      50       0
3         *      *       *     *     4      50       0
3         *      *       *     *     8      50       0
3         *      *       *     *     12     50       0
3         *      *       *     *     16     50       0
3         *      *       *     *     20     50       0
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     22     5        0
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     22     15       0
6         *      *       *     *     2      25       0
6         *      *       *     *     6      25       0
6         *      *       *     *     10     25       0
6         *      *       *     *     14     25       0
6         *      *       *     *     18     25       0
6         *      *       *     *     22     25       0
7         *      *       *     *     2      50       0
7         *      *       *     *     6      50       0
7         *      *       *     *     10     50       0
7         *      *       *     *     14     50       0
7         *      *       *     *     18     50       0
7         *      *       *     *     22     50       0
8         *      *       *     *     1      0        0
8         *      *       *     *     5      0        0 
8         *      *       *     *     9      0        0
8         *      *       *     *     13     0        0
8         *      *       *     *     17     0        0
8         *      *       *     *     21     0        0
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime	Comment
0         		0              *                55          9           600		//Underworld
1         		1              *                42          10          600		//Red Dragon
2         		2              *                501         11          600		//Golden
3         		3              *                135         12          600		//White Wizard
4         		4              *                *           *           600		//New Year
5         		5              *                *           *           600		//Easter
6         		6              *                *           *           600		//Summer
7         		7              *                476         13          600		//Christmas
8         		8              *                561         14          600		//Medusa

2
//Index   Group   Value
2         7       0       82      3       8      10      10      240     240     0           0           //Golden Tantalos
2         8       0       83      5       8      10      10      240     240     0           0           //Golden Wheel
2         9       0       493     3       1      2       52      43      125     0           0           //Golden Dark Knight
2         10      0       494     3       4      10      10      240     240     0           0           //Golden Devil
2         11      0       495     3       33     10      10      240     240     0           0           //Golden Stone Golem
2         12      0       496     3       10     10      10      240     240     0           0           //Golden Crust
2         13      0       497     3       37     10      10      240     240     0           0           //Golden Satyros
2         14      0       498     3       38     10      10      240     240     0           0           //Golden Twin Tail
2         15      0       499     3       57     10      10      240     240     0           0           //Golden Iron Knight
2         16      0       500     3       56     10      10      240     240     0           0           //Golden Napin
2         17      0       501     1       37     10      10      240     240     0           0           //Great Golden Dragon
2         17      1       501     1       57     10      10      240     240     0           0           //Great Golden Dragon
2         18      0       502     5       51     10      10      240     240     0           0           //Golden Rabbit
3         0       0       135     1       0      148     47      164     65      0           0           //White wizard
3         0       0       136     10      0      148     47      164     65      0           0           //Destructive ogre soldier
3         0       0       137     10      0      148     47      164     65      0           0           //Destructive ogre archer
3         0       1       135     1       2      158     12      167     24      0           0           //White wizard
3         0       1       136     10      2      158     12      167     24      0           0           //Destructive ogre soldier
3         0       1       137     10      2      158     12      167     24      0           0           //Destructive ogre archer
3         0       2       135     1       3      197     70      204     86      0           0           //White wizard
3         0       2       136     10      3      197     70      204     86      0           0           //Destructive ogre soldier
3         0       2       137     10      3      197     70      204     86      0           0           //Destructive ogre archer
4         0       0       365     10      4      10      10      240     240     0           0           //Pouch of Blessing
4         0       1       365     10      7      10      10      240     240     0           0           //Pouch of Blessing
4         0       2       365     10      8      10      10      240     240     0           0           //Pouch of Blessing
4         0       3       365     10      33     10      10      240     240     0           0           //Pouch of Blessing
4         0       4       365     10      37     10      10      240     240     0           0           //Pouch of Blessing
4         0       5       365     10      57     10      10      240     240     0           0           //Pouch of Blessing
5         0       0       413     10      4      10      10      240     240     0           0           //Lunar Rabbit
5         0       1       413     10      7      10      10      240     240     0           0           //Lunar Rabbit
5         0       2       413     10      8      10      10      240     240     0           0           //Lunar Rabbit
5         0       3       413     10      33     10      10      240     240     0           0           //Lunar Rabbit
5         0       4       413     10      37     10      10      240     240     0           0           //Lunar Rabbit
5         0       5       413     10      57     10      10      240     240     0           0           //Lunar Rabbit
6         0       0       463     10      4      10      10      240     240     0           0           //Fire Flame Ghost
6         0       1       463     10      7      10      10      240     240     0           0           //Fire Flame Ghost
6         0       2       463     10      8      10      10      240     240     0           0           //Fire Flame Ghost
6         0       3       463     10      33     10      10      240     240     0           0           //Fire Flame Ghost
6         0       4       463     10      37     10      10      240     240     0           0           //Fire Flame Ghost
6         0       5       463     10      57     10      10      240     240     0           0           //Fire Flame Ghost
7         0       0       466     10      0      148     47      164     65      0           0           //Cursed Goblin
7         0       0       476     1       0      148     47      164     65      0           0           //Cursed Santa
7         0       1       466     10      2      158     12      167     24      0           0           //Cursed Goblin
7         0       1       476     1       2      158     12      167     24      0           0           //Cursed Santa
7         0       2       466     10      3      194     70      204     86      0           0           //Cursed Goblin
7         0       2       476     1       3      194     70      204     86      0           0           //Cursed Santa
8         0       0       560     7       56     50      103     57      114     0           0           //Sapi Queen
8         0       0       561     1       56     50      103     57      114     0           0           //Medusa
8         0       1       560     7       56     127     162     136     171     0           0           //Sapi Queen
8         0       1       561     1       56     127     162     136     171     0           0           //Medusa
8         0       2       560     7       56     149     10      162     19      0           0           //Sapi Queen
8         0       2       561     1       56     149     10      162     19      0           0           //Medusa
8         0       3       560     7       56     178     114     184     129     0           0           //Sapi Queen
8         0       3       561     1       56     178     114     184     129     0           0           //Medusa
end
