0
//Index   Name                                 TargetType   ScopeType   ScopeAngle   ScopeValue   Delay   Slot1   Slot2   Slot3   Slot4   Slot5
71        "Monster Skill Unit"                 1            *           *            0            300     47      74      7       *       * 
72        "Monster Skill Unit"                 1            *           *            0            300     47      74      5       *       * 
73        "Monster Skill Unit"                 1            *           *            0            300     47      9       7       *       * 
74        "Monster Skill Unit"                 1            *           *            0            300     47      74      6       *       * 
75        "Monster Skill Unit"                 1            *           *            0            300     47      27      6       *       * 
76        "Monster Skill Unit"                 1            *           *            0            300     47      27      5       *       * 
77        "Monster Skill Unit"                 1            *           *            0            300     47      74      27      *       * 
78        "Monster Skill Unit"                 1            0           *            10           300     75      *       *       *       * 
79        "Monster Skill Unit"                 1            0           *            10           300     76      77      *       *       * 
80        "Monster Skill Unit"                 1            0           *            10           300     72      77      *       *       * 
81        "Monster Skill Unit"                 1            0           *            10           300     25      8       *       *       * 
82        "Monster Skill Unit"                 1            *           *            0            300     78      *       *       *       * 
83        "Monster Skill Unit"                 1            *           *            0            300     79      *       *       *       * 
84        "Monster Skill Unit"                 1            *           *            0            300     80      81      *       *       * 
85        "Monster Skill Unit"                 1            *           *            0            300     82      *       *       *       * 
86        "Monster Skill Unit"                 1            *           *            0            300     83      *       *       *       * 
87        "Monster Skill Unit"                 1            *           *            0            300     84      85      *       *       * 
88        "Monster Skill Unit"                 1            *           *            0            300     86      *       *       *       * 
89        "Monster Skill Unit"                 1            *           *            0            300     87      *       *       *       * 
90        "Monster Skill Unit"                 1            *           *            0            300     88      89      *       *       * 
91        "Monster Skill Unit"                 1            *           *            0            300     90      *       *       *       * 
92        "Monster Skill Unit"                 1            *           *            0            300     91      *       *       *       * 
93        "Monster Skill Unit"                 1            *           *            0            300     92      93      *       *       * 
94        "Monster Skill Unit"                 1            *           *            0            300     94      *       *       *       * 
95        "Monster Skill Unit"                 1            *           *            0            300     95      *       *       *       * 
96        "Monster Skill Unit"                 1            *           *            0            300     96      97      *       *       * 
97        "Monster Skill Unit"                 3            *           *            0            300     98      102     *       *       * 
98        "Monster Skill Unit"                 1            *           *            0            300     99      104     *       *       * 
99        "Monster Skill Unit"                 3            *           *            0            300     100     104     *       *       * 
100       "Monster Skill Unit"                 2            *           *            0            300     101     103     *       *       * 
101       "Monster Skill Unit"                 1            4           120          7            300     105     *       *       *       * 
102       "Monster Skill Unit"                 1            0           *            7            300     106     *       *       *       * 
103       "Monster Skill Unit"                 1            4           60           8            300     107     *       *       *       * 
104       "Monster Skill Unit"                 1            0           *            6            300     108     *       *       *       * 
105       "Monster Skill Unit"                 1            0           *            0            300     109     *       *       *       * 
106       "Monster Skill Unit"                 3            *           *            0            300     110     115     *       *       * 
107       "Monster Skill Unit"                 1            0           *            8            300     111     117     *       *       * 
108       "Monster Skill Unit"                 3            0           *            5            300     112     116     *       *       * 
109       "Monster Skill Unit"                 1            *           *            8            300     113     *       *       *       * 
110       "Monster Skill Unit"                 2            *           *            0            300     114     *       *       *       * 
111       "Monster Skill Unit"                 2            *           *            0            300     *       *       *       *       * 
112       "Monster Skill Unit"                 3            0           *            0            300     117     *       *       *       * 
113       "Monster Skill Unit"                 1            0           *            9            6000    118     *       *       *       * 
114       "Monster Skill Unit"                 3            0           *            9            3000    119     *       *       *       * 
115       "Monster Skill Unit"                 1            *           *            0            3000    120     *       *       *       * 
117       "Monster Skill Unit"                 1            *           *            7            300     122     *       *       *       * 
118       "Monster Skill Unit"                 1            *           *            7            300     123     *       *       *       * 
119       "Monster Skill Unit"                 1            0           *            5            300     124     *       *       *       * 
120       "Monster Skill Unit"                 1            *           *            0            300     125     *       *       *       * 
121       "Monster Skill Unit"                 1            *           *            0            300     126     *       *       *       * 
122       "Monster Skill Unit"                 1            *           *            0            300     127     *       *       *       * 
123       "Monster Skill Unit"                 1            *           *            0            300     *       *       *       *       *
125       "Monster Skill Unit"                 1            4           *            3            300     128     *       *       *       *
126       "Monster Skill Unit"                 1            0           *            6            300     129     *       *       *       *
128       "Monster Skill Unit"                 5            *           *            0            300     130     *       *       *       *
129       "Monster Skill Unit"                 1            0           *            6            300     131     *       *       *       *
130       "Monster Skill Unit"                 1            4           *            3            300     132     *       *       *       *
131       "Monster Skill Unit"                 1            4           *            3            300     133     *       *       *       *
134       "Monster Skill Unit"                 1            2           *            0            300     134     *       *       *       *
135       "Monster Skill Unit"                 1            2           *            0            300     135     *       *       *       *
136       "Monster Skill Unit"                 1            1           *            6            300     136     *       *       *       *
137       "Monster Skill Unit"                 1            0           *            3            300     136     *       *       *       *
138       "Monster Skill Unit"                 1            0           *            6            300     137     *       *       *       *
end
