0
//Index   Name											TargetType   ScopeType   ScopeAngle   ScopeValue   Delay   Slot1   Slot2   Slot3   Slot4   Slot5
99        "Lord Silvester - Curse of the wind"			3            *           *            0            300     100     104     *       *       * 
100       "Lord Silvester - Wind called (summoned)"		2            *           *            0            300     101     103     *       *       * 
101       "EvoMon - MultiShot"       					1            4           120          7            300     105     *       *       *       * 
102       "EvoMon - Lightning"       					1            0           *            7            300     106     *       *       *       * 
103       "EvoMon - Flood"       						1            4           60           8            300     107     *       *       *       * 
104       "EvoMon - Ice Dot Damage"       				1            0           *            6            300     108     *       *       *       * 
105       "EvoMon - Disappear"       					1            0           *            0            300     109     *       *       *       * 
106       "Core Magriffy - General Attack"       		3            *           *            0            300     110     115     *       *       * 
107       "Core Magriffy - Twister"       				1            0           *            8            300     111     117     *       *       * 
108       "Core Magriffy - Shout"       				3            0           *            5            300     112     116     *       *       * 
109       "Core Magriffy - ???"       					1            *           *            8            300     113     *       *       *       * 
110       "Core Magriffy - Variation"       			2            *           *            0            300     114     *       *       *       * 
111       "Core Magriffy - Disappear"       			2            *           *            0            300     *       *       *       *       * 
112       "Ferea Lord - General Attack"       			3            0           *            0            300     117     *       *       *       * 
113       "Ferea Lord - LandMine Explosion"       		1            0           *            9            6000    118     *       *       *       * 
114       "Ferea Lord - WhirlWind"       				3            0           *            9            3000    119     *       *       *       * 
115       "Ferea Lord - Roar of Lord"       			1            *           *            0            3000    120     *       *       *       * 
117       "Nix - Normal Attack"       					1            *           *            7            300     122     *       *       *       * 
118       "Nix - Energy Sphere"       					1            *           *            7            300     123     *       *       *       * 
119       "Nix - Ice Lane"       						1            0           *            5            300     124     *       *       *       * 
120       "Nix - Ice Breath"       						1            *           *            0            300     125     *       *       *       * 
121       "Nix - Ice Boom"       						1            *           *            0            300     126     *       *       *       * 
122       "Nix - Devil Ice"       						1            *           *            0            300     127     *       *       *       * 
123       "Nix - Knowledge Absorb"       				1            *           *            0            300     *       *       *       *       *
125       "Cent Fire Slash"       						1            4           *            3            300     128     *       *       *       *
126       "Cent Twister"       							1            0           *            6            300     129     *       *       *       *
128       "Cent Nova Start"       						5            *           *            0            300     130     *       *       *       *
129       "Cent Nova"       							1            0           *            6            300     131     *       *       *       *
130       "Cent Fire Blood"       						1            4           *            3            300     132     *       *       *       *
131       "Cent Ice Blood"       						1            4           *            3            300     133     *       *       *       *
134       "Swamp Monster Poison"       					1            2           *            0            300     134     *       *       *       *
135       "Pet Monster Attack"       					1            2           *            0            300     135     *       *       *       *
136       "Water Monster Line Attack"       			1            1           *            6            300     136     *       *       *       *
137       "Water Monster Range Attack"       			1            0           *            3            300     136     *       *       *       *
138       "God of Darkness Attack"       				1            0           *            6            300     137     *       *       *       *
148       "Multiple Monster AOE Skill"       			1            0           *            6            300     148     *       *       *       * 
149       "Temple Gremlin AOE Skill"       				1            0           *            6            300     149     *       *       *       * 
150       "Ashy Witch Queen Evil Spirit Skill"      	1            0           *            6            300     150     *       *       *       * 
151       "Harpy AOE Twister"       					1            0           *            6            300     151     *       *       *       *
152       "Underground Persona - Demon"       			1            0           *            6            300     25      *       *       *       *
154       "Underground Dread - 2 times a peer"      	1            *           *            0            300     28      *       *       *       *
155       "Magma Shaman AOE Skill"       				1            0           *            6            300     155     156     *       *       *
//S18.1-3			
144       "Bahamutt Multiple Attack"           			1            0           *            6            300     144     *       *       *       *
145       "Monster Skill Unit"                 			1            0           *            6            300     145     *       *       *       *
146       "Monster Skill Unit"                 			1            0           *            6            300     146     *       *       *       *
147       "Monster Skill Unit"                 			1            0           *            6            300     147     *       *       *       *
end
