0
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
41        802 	  2 	  10 	     10 	227 	   1500 	  1500 		 0 		0
42        811 	  2 	  1 	     20 	40 	   41 	  	  41 		 0 		0
43        810 	  2 	  1 	     20 	22 	   1502 	  1502 		 0 		0
44        812 	  2 	  1 	     20 	22 	   42 		  42 		 0 		0	
46        335 	  2 	  1 	     20 	22 	   0 		  0 		 0 		0 	
47        803 	  2 	  1 	     20 	228 	   1503	 	  1503 		 0 		0	
49        336 	  2 	  1 	     20 	22 	   43 		  43 		 0 		0 	  
51        804 	  2 	  1 	     20 	229 	   1503	 	  803 		 803 		0 	
52        334 	  2 	  1 	     20 	9 	   0 		  0 		 0 		0 	  
53        339 	  2 	  1 	     20 	22 	   43 		  336 		 336 		0 	  
55        806 	  2 	  1 	     20 	231 	   1503 	  804 		 804 		0 	
56        338 	  2 	  1 	     20 	9 	   0 		  0 		 334 		0 	  
57        345 	  2 	  1 	     20 	7 	   0 		  0 		 0 		0 	  
59        807 	  2 	  10 	     10 	232 	   232 		  232 		 806 		0 	
60        341 	  2 	  1 	     20 	8 	   0 		  0 		 338 		0 	  
61        813 	  2 	  10 	     10 	178 	   0 		  0 		 0 		0 	  
63        809 	  2 	  1 	     20 	234 	   232 		  807 		 807 		0 	
64        743 	  2 	  1 	     20 	43 	   0 		  0 		 0 		0 	  
66        344 	  2 	  10 	     10 	25 	   344 		  0 		 0 	 	0 	  
70        346 	  2 	  1 	     20 	5 	   344 		  344 		 344 		0 
37        325     2       1          20         13         0              0              0              0
41        326     2       1          20         4          22             22             0              0
42        327     2       1          20         40         23             23             0              0
43        328     2       1          20         17         19             19             0              0
44        329     2       1          20         17         20             20             0              0
45        330     2       1          20         40         41             41             0              0
46        331     2       1          20         22         42             42             0              0
51        334     2       1          20         9          0              0              0              0
52        335     2       1          20         22         0              0              0              0
53        336     2       1          20         22         43             43             0              0
54        337     2       1          20         22         232            232            0              0
55        338     2       1          20         9          0              0              334            0
57        339     2       1          20         22         43             336            336            0
59        341     2       1          20         8          0              0              338            0
61        345     2       1          20         7          0              0              0              0
63        743     2       1          20         43         0              0              0              0
66        344     2       10         10         25         344            0              0              0
67        631     2       10         10         0          0              0              0              0
70        346     2       1          20         5          344            344            344            0
73        347     3       1          20         14         0              0              0              0
77        348     3       1          20         42         0              0              0              0
78        349     3       1          20         22         0              0              0              0
79        350     3       1          20         3          0              0              0              0
80        351     3       1          20         41         0              0              0              0
81        352     3       1          20         41         0              0              348            0
82        353     3       1          10         23         0              0              349            0
83        354     3       1          20         1          0              0              350            0
84        355     3       1          20         1          0              0              351            0
85        356     3       1          20         7          48             48             0              0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        360     3       1          20         7          48             356            356            0
90        361     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        363     3       1          20         7          48             360            360            0
94        364     3       1          20         3          0              0              361            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        628     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
101       630     3       1          20         22         0              0              0              0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       629     3       1          20         3          0              0              628            0
108       371     3       1          20         38         0              0              370            0 
end

2
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        410     1       1          20         17         0              0              0              0
32        643     1       1          20         2          0              0              0              0
34        412     1       1          20         17         0              0              410            0
35        646     1       1          20         35         0              0              0              0
36        645     1       1          20         39         0              0              643            0
37        325     2       1          20         13         0              0              0              0
41        413     2       1          20         22         26             26             0              0
43        414     2       1          20         4          24             24             0              0
44        415     2       1          20         16         0              0              0              0
45        416     2       1          20         17         52             52             0              0
46        417     2       1          20         22         27             27             0              0
47        418     2       10         10         0          24             414            414            0
48        419     2       1          20         16         0              0              415            0
49        420     2       1          20         22         28             28             0              0
51        421     2       1          20         22         0              0              0              0
52        334     2       1          20         9          0              0              0              0
53        422     2       1          20         22         28             420            420            0
54        423     2       1          20         22         27             417            417            0
55        424     2       1          20         22         51             51             0              0
56        338     2       1          20         9          0              0              334            0
58        425     2       10         10         0          425            0              423            0
59        411     2       1          20         22         235            235            0              0
60        341     2       1          20         8          0              0              338            0
61        426     2       10         10         0          426            0              0              0
63        743     2       1          20         43         0              0              0              0
64        428     2       1          20         16         0              0              0              0
65        429     2       1          20         22         426            426            426            0
66        430     2       10         10         0          430            0              0              0
67        427     2       10         10         27         427            0              0              0
68        432     2       10         10         0          432            0              428            0
69        651     2       10         10         0          651            0              0              0
70        433     2       1          20         10         430            430            430            0
71        434     2       1          20         40         427            427            427            0
72        652     2       10         10         0          652            0              0              0
73        347     3       1          20         14         0              0              0              0
77        435     3       1          20         3          0              0              0              0
78        436     3       1          20         4          0              0              0              0
79        437     3       1          20         10         0              0              0              0
81        438     3       1          10         23         0              0              435            0
82        439     3       1          20         5          0              0              436            0
83        440     3       1          20         15         0              0              437            0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        441     3       1          20         1          77             77             0              0
90        442     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
94        443     3       1          20         3          0              0              442            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        648     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
101       650     3       1          20         22         0              0              0              0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       649     3       1          20         3          0              0              648            0
108       371     3       1          20         38         0              0              370            0
end

3
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        476     1       1          20         17         0              0              0              0
31        664     1       1          20         2          0              0              0              0
32        663     1       1          20         2          0              0              0              0
34        478     1       1          20         17         0              0              476            0
35        666     1       1          20         35         0              0              0              0
36        665     1       1          20         39         0              0              663            0
37        325     2       1          20         13         0              0              0              0
41        479     2       1          20         4          22             22             0              0
42        480     2       1          20         40         3              3              0              0
43        481     2       1          20         40         41             41             0              0
44        482     2       1          20         17         56             56             0              0
45        483     2       1          20         17         5              5              0              0
46        484     2       1          20         17         13             13             480            0
48        485     2       1          20         22         0              0              481            482
49        486     2       1          20         4          14             14             483            0
50        487     2       1          20         4          9              9              0              0
51        488     2       1          20         22         0              0              0              0
52        334     2       1          20         9          0              0              0              0
54        490     2       1          20         3          55             55             0              0
55        489     2       1          20         40         7              7              0              0
56        338     2       1          20         9          0              0              334            0
57        492     2       1          20         4          236            236            0              0
60        341     2       1          20         8          0              0              338            0
62        493     2       1          20         7          55             490            490            0
63        496     2       1          20         3          237            237            0              0
64        743     2       1          20         43         0              0              0              0
66        344     2       10         10         25         344            0              0              0
67        495     2       10         10         26         495            0              0              0
70        346     2       1          20         5          344            344            344            0
71        497     2       1          20         4          495            495            495            0
73        347     3       1          20         14         0              0              0              0
77        348     3       1          20         42         0              0              0              0
78        349     3       1          20         22         0              0              0              0
79        397     3       1          20         22         0              0              0              0
80        398     3       1          20         42         0              0              0              0
81        352     3       1          20         41         0              0              348            0
82        353     3       1          10         23         0              0              349            0
83        400     3       1          10         23         0              0              397            0
84        401     3       1          20         42         0              0              398            0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        405     3       1          20         22         0              0              0              0
90        361     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        407     3       1          20         3          0              0              405            0
94        364     3       1          20         3          0              0              361            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        668     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       669     3       1          20         3          0              0              668            0
108       371     3       1          20         38         0              0              370            0
end

4
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
21        506     1       1          20         40         0              0              0              0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        505     1       1          20         17         0              0              0              0
32        670     1       1          20         2          0              0              0              0
34        507     1       1          20         17         0              0              505            0
35        673     1       1          20         35         0              0              0              0
36        672     1       1          20         39         0              0              670            0
37        325     2       1          20         13         0              0              0              0
41        508     2       1          20         4          61             61             0              0
42        509     2       1          20         40         60             60             0              0
43        510     2       1          20         17         0              0              0              0
46        511     2       1          20         3          64             64             0              0
47        512     2       1          20         4          62             62             510            0
48        513     2       1          20         22         0              0              0              0
50        515     2       1          20         10         64             511            511            0
52        334     2       1          20         9          0              0              0              0
54        517     2       1          20         7          64             515            515            0
55        518     2       1          20         22         78             78             0              0
56        338     2       1          20         9          0              0              334            0
57        519     2       1          20         3          65             65             0              0
59        520     2       1          20         5          78             518            518            0
60        341     2       1          20         8          0              0              338            0
62        522     2       1          20         1          64             517            517            0
63        523     2       1          20         22         238            238            0              0
64        743     2       1          20         43         0              0              0              0
73        347     3       1          20         14         0              0              0              0
77        526     3       1          20         3          0              0              0              0
78        527     3       1          20         22         0              0              0              0
79        528     3       1          20         10         0              0              0              0
80        529     3       1          20         3          0              0              0              0
81        530     3       1          20         7          0              0              526            0
82        531     3       1          20         5          0              0              527            0
83        532     3       1          20         17         0              0              528            0
84        533     3       1          10         20         0              0              529            0
85        534     3       1          20         1          0              0              530            0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        538     3       1          20         1          0              0              0              0
90        535     3       1          20         17         0              0              0              0
91        361     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        539     3       1          20         38         0              0              538            0
94        536     3       1          20         23         0              0              0              0
95        364     3       1          20         3          0              0              361            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        675     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       676     3       1          20         3          0              0              675            0
108       371     3       1          20         38         0              0              370            0
end

5
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        446     1       1          20         17         0              0              0              0
34        447     1       1          20         17         0              0              446            0
35        656     1       1          20         35         0              0              0              0
37        325     2       1          20         13         0              0              0              0
41        774     2       1          20         3          223            223            0              0
42        775     2       1          20         3          224            224            0              0
43        776     2       1          20         3          225            225            0              0
45        455     2       1          20         22         215            215            0              0
47        777     2       1          20         22         225            776            776            0
48        454     2       1          20         1          219            219            0              0
49        456     2       1          20         22         230            230            0              0
51        778     2       1          20         22         225            777            777            0
52        334     2       1          20         9          0              0              0              0
53        457     2       1          20         22         0              0              0              0
55        458     2       1          20         22         214            214            0              0
56        338     2       1          20         9          0              0              334            0
57        459     2       1          20         3          221            221            0              0
58        460     2       1          20         3          222            222            0              0
60        341     2       1          20         8          0              0              338            0
61        772     2       1          20         177        221            459            459            0
62        773     2       1          20         177        222            460            460            0
64        743     2       1          20         43         0              0              0              0
66        461     2       10         10         0          0              0              0              0
73        347     3       1          20         14         0              0              0              0
77        465     3       1          20         22         0              0              0              0
78        466     3       1          20         4          0              0              0              0
81        467     3       1          20         5          0              0              465            0
82        468     3       1          10         23         0              0              466            0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        469     3       1          20         172        218            218            0              0
90        770     3       1          20         174        289            289            0              0
91        471     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        470     3       1          10         173        218            469            469            0
94        771     3       1          20         175        289            770            770            0
95        473     3       1          20         3          0              0              471            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        658     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
101       660     3       1          20         22         0              0              0              0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       659     3       1          20         3          0              0              658            0
108       371     3       1          20         38         0              0              370            0
end

6
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         578     1       1          20         37         0              0              0              0
4         579     1       1          20         29         0              0              0              0
6         580     1       1          20         33         0              0              0              0
8         581     1       1          20         7          0              0              0              0
9         583     1       1          20         17         0              0              578            0
10        584     1       1          20         1          0              0              580            0
12        585     1       1          20         1          0              0              581            0
14        587     1       1          20         35         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        588     1       1          20         1          0              0              585            0
17        590     1       1          20         17         0              0              583            0
18        591     1       1          20         1          0              0              587            0
23        593     1       1          20         3          0              0              0              0
24        594     1       1          20         38         0              0              593            0
25        595     1       1          20         36         0              0              0              0
26        596     1       1          20         36         0              0              0              0
27        597     1       1          20         36         0              0              0              0
28        598     1       1          20         36         0              0              0              0
30        549     1       1          20         17         0              0              0              0
34        550     1       1          20         17         0              0              549            0
35        680     1       1          20         35         0              0              0              0
37        599     2       1          20         30         0              0              0              0
41        551     2       1          20         22         260            260            0              0
42        552     2       1          20         22         261            261            0              0
43        744     2       1          20         22         270            270            0              0
45        554     2       1          20         1          260            551            551            0
46        555     2       1          20         1          261            552            552            0
47        745     2       1          20         1          270            744            744            0
51        600     2       1          20         34         0              0              0              0
52        557     2       1          20         22         0              0              0              0
53        558     2       1          20         22         262            262            0              0
54        559     2       1          20         22         263            263            0              0
55        601     2       1          20         34         0              0              600            0
56        560     2       1          20         22         264            264            0              0
59        602     2       1          20         37         0              0              601            0
61        743     2       1          20         43         0              0              0              0
62        563     2       1          20         0          263            559            559            0
63        564     2       1          20         22         265            265            0              0
66        565     2       10         10         0          565            0              0              0
70        567     2       1          20         38         565            565            565            0
73        603     3       1          20         31         0              0              0              0
77        568     3       1          20         22         0              0              0              0
78        569     3       1          20         22         268            268            0              0
81        571     3       1          10         1          0              0              568            0
82        572     3       1          20         22         268            569            569            0
85        573     3       1          20         5          267            267            0              0
86        604     3       1          20         18         0              0              0              0
87        605     3       1          20         11         0              0              0              0
88        606     3       1          20         6          0              0              0              0
90        607     3       1          20         22         0              0              0              0
92        608     3       1          20         6          0              0              606            0
94        609     3       1          20         3          0              0              607            0
96        610     3       1          20         38         0              0              0              0
97        611     3       1          20         38         0              0              0              0
98        612     3       1          20         38         0              0              0              0
99        682     3       1          20         22         0              0              0              0
100       613     3       1          20         38         0              0              610            0
102       616     3       1          20         38         0              0              612            0
104       614     3       1          20         38         0              0              0              0
107       683     3       1          20         3          0              0              682            0
108       615     3       1          20         38         0              0              614            0
end

7
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        685     1       1          20         17         0              0              0              0
32        713     1       1          20         2          0              0              0              0
34        686     1       1          20         17         0              0              685            0
35        716     1       1          20         35         0              0              0              0
36        715     1       1          20         39         0              0              713            0
37        325     2       1          20         13         0              0              0              0
41        329     2       1          20         17         20             20             0              0
42        687     2       1          20         3          271            271            0              0
43        688     2       1          20         4          276            276            0              0
48        689     2       1          20         22         0              0              0              0
50        690     2       1          20         4          271            687            687            0
51        691     2       10         10         0          276            688            688            0
52        334     2       1          20         9          0              0              0              0
53        693     2       1          20         18         273            273            0              0
54        692     2       1          20         4          274            274            0              0
55        696     2       1          20         4          279            279            0              0
56        338     2       1          20         9          0              0              334            0
60        341     2       1          20         8          0              0              338            0
61        699     2       1          20         5          277            277            0              0
62        695     2       10         10         0          274            692            692            0
63        698     2       10         10         0          279            696            696            0
64        743     2       1          20         43         0              0              0              0
66        700     2       10         10         38         700            0              0              0
70        701     2       1          20         23         700            700            700            0
73        347     3       1          20         14         0              0              0              0
77        702     3       1          20         22         0              0              0              0
78        703     3       1          20         10         272            272            0              0
80        704     3       1          20         10         0              0              0              0
81        705     3       1          20         1          0              0              702            0
82        706     3       1          20         23         272            703            703            0
84        707     3       1          20         17         0              0              704            0
85        708     3       1          20         23         278            278            0              0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
89        709     3       1          20         23         278            708            708            0
90        361     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
93        710     3       10         10         38         278            709            709            0
94        364     3       1          20         3          0              0              361            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        718     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
105       711     3       1          10         23         0              0              0              0
106       712     3       1          10         23         0              0              0              0
107       719     3       1          20         3          0              0              718            0
108       371     3       1          20         38         0              0              370            0
end

8
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
9         305     1       1          20         17         0              0              300            0
10        306     1       1          20         1          0              0              302            0
12        307     1       1          20         1          0              0              303            0
14        309     1       1          20         16         0              0              0              0
15        746     1       1          10         162        0              0              0              0
16        310     1       1          20         1          0              0              307            0
17        312     1       1          20         17         0              0              305            0
18        313     1       1          20         1          0              0              309            0
23        315     1       1          20         3          0              0              0              0
24        316     1       1          20         38         0              0              315            0
25        317     1       1          20         40         0              0              0              0
26        318     1       1          20         40         0              0              0              0
27        319     1       1          20         40         0              0              0              0
28        320     1       1          20         40         0              0              0              0
30        754     1       1          20         17         0              0              0              0
32        758     1       1          20         2          0              0              0              0
34        755     1       1          20         17         0              0              754            0
35        759     1       1          20         35         0              0              0              0
36        756     1       1          20         39         0              0              758            0
37        325     2       1          20         13         0              0              0              0
41        380     2       1          20         1          233            233            0              0
43        378     2       1          20         17         5              5              0              0
44        748     2       1          20         22         283            283            0              0
45        383     2       1          20         1          233            380            380            0
47        381     2       1          20         4          14             14             378            0
48        749     2       1          20         22         283            748            748            0
49        765     2       1          20         23         286            286            0              0
50        768     2       1          20         23         287            287            0              0
51        334     2       1          20         9          0              0              0              0
52        386     2       1          20         22         0              0              0              0
53        766     2       1          20         23         286            765            765            0
54        769     2       1          20         23         287            768            768            0
55        338     2       1          20         9          0              0              334            0
57        391     2       1          20         17         39             39             0              0
59        341     2       1          20         8          0              0              338            0
60        750     2       1          20         22         284            284            0              0
63        743     2       1          20         43         0              0              0              0
64        751     2       1          20         22         284            750            750            0
66        495     2       10         10         26         495            0              0              0
70        497     2       1          20         4          495            495            495            0
73        347     3       1          20         14         0              0              0              0
77        752     3       1          20         22         0              0              0              0
79        399     3       1          20         10         0              0              0              0
81        753     3       1          20         1          0              0              752            0
83        402     3       1          20         17         0              0              399            0
86        357     3       1          20         18         0              0              0              0
87        358     3       1          20         11         0              0              0              0
88        359     3       1          20         6          0              0              0              0
90        405     3       1          20         22         0              0              0              0
92        362     3       1          20         6          0              0              359            0
94        407     3       1          20         3          0              0              405            0
96        366     3       1          20         38         0              0              0              0
97        367     3       1          20         38         0              0              0              0
98        368     3       1          20         38         0              0              0              0
99        761     3       1          20         22         0              0              0              0
100       369     3       1          20         38         0              0              366            0
101       763     3       1          20         22         0              0              0              0
102       372     3       1          20         38         0              0              368            0
104       370     3       1          20         38         0              0              0              0
107       762     3       1          20         3          0              0              761            0
108       371     3       1          20         38         0              0              370            0
end

9
//Index   Skill   Group   MinLevel   MaxLevel   ExtValue   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill
1         300     1       1          20         37         0              0              0              0
4         301     1       1          20         12         0              0              0              0
6         302     1       1          20         13         0              0              0              0
8         303     1       1          20         7          0              0              0              0
