//Index  Name						Damage  MP      BP      Range   Radio   Delay   Type	Effect	ReqLevel	ReqEnergy	ReqLeadership	ReqKillCount	ReqGuildStatus	DivisionStat1	DivisionValue1	DivisionStat2	DivisionValue2	SkillDamageType	ElementImprintBonus	AddDamageOption   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL	GC
27	"Greater Defense"				0	30	0	6	0	0	0	2	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
28	"Greater Damage"				0	40	0	6	0	0	0	1	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
30	"Summon Goblin"					0	40	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
31	"Summon Stone Golem"				0	70	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
32	"Summon Assassin"				0	110	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
33	"Summon Elite Yeti"				0	160	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
34	"Summon Dark Knight"				0	200	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
35	"Summon Bali"					0	250	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
36	"Summon Soldier"				0	350	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		4		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
38	"Decay"						95	110	7	6	4	0	5	55	0		0		0		0		0		4		100		-1		-1		0		110			0		  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
39	"Ice Storm"					80	100	5	6	4	0	2	56	0		0		0		0		0		4		90		-1		-1		0		115			0		  2	  0	  0	  0	  0	  0	  0	  0	  2	  0	0
40	"Nova"						0	180	45	6	6	0	1	0	0		0		0		0		0		-1		-1		-1		-1		0		160			0		  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
41	"Twisting Slash"				0	10	10	2	3	0	4	0	0		0		0		0		0		1		40		-1		-1		0		150			0		  0	  1	  0	  1	  0	  0	  0	  0	  0	  1	0
42	"Rageful Blow"					60	25	20	3	4	0	3	0	0		0		0		0		0		1		150		-1		-1		0		125			0		  0	  2	  0	  0	  0	  0	  0	  0	  0	  2	0
43	"Death Stab"					70	15	12	3	2	0	4	0	0		0		0		0		0		1		150		-1		-1		0		105			0		  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	0
44	"Crescent Moon Slash"				90	22	15	4	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	0
45	"Mana Glaive"					90	150	10	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  1	  0	  0	  0	  0	  1	  0	  0	  1	  0	0
46	"Starfall"					120	20	15	8	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
47	"Impale"					15	8	0	3	0	0	4	0	0		0		0		0		0		1		35		-1		-1		0		170			0		  0	  1	  0	  1	  0	  0	  0	  0	  0	  0	0
48	"Greater Life"					0	22	24	0	5	0	0	8	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	0
49	"Fire Breath"					30	9	0	3	0	0	4	0	0		0		0		0		0		-1		-1		-1		-1		0		150			0		  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	0
50	"Monster Area Attack"				120	160	0	0	6	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
51	"Ice Arrow"					105	10	12	8	0	0	2	57	0		0		0		0		0		2		150		-1		-1		0		115			0		  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	0
52	"Penetration"					70	7	9	6	6	0	4	0	0		0		0		0		0		2		200		-1		-1		0		130			0		  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0
55	"Fire Slash"					80	17	24	3	6	0	5	58	0		0		0		0		0		1		150		-1		-1		0		105			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
56	"Power Slash"					0	15	0	5	5	0	4	0	0		0		0		0		0		1		100		-1		-1		0		125			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
57	"Spiral Slash"					75	20	15	5	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
60	"Force"						10	10	0	4	0	0	4	0	0		0		0		0		0		1		40		-1		-1		0		160			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
61	"Fire Burst"					100	25	0	6	3	0	1	0	0		0		0		0		0		1		100		-1		-1		0		135			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
62	"Earthquake"					150	0	50	10	5	10000	3	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
63	"Summon Party"					0	70	30	0	0	30000	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
64	"Greater Critical Damage"			0	50	50	0	6	0	0	5	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
65	"Electric Spark"				250	0	100	10	6	5000	4	0	0		0		0		0		0		1		100		-1		-1		0		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
66	"Force Wave"					50	10	0	4	3	0	4	0	0		0		0		0		0		1		40		-1		-1		0		160			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
67	"Stern"						0	70	50	2	5	0	0	61	0		0		0		4		32		-1		-1		-1		-1		2		100			0		  1	  1	  1	  1	  1	  1	  0	  0	  1	  1	0
68	"Remove Stern"					0	25	30	0	5	0	0	0	0		0		0		2		32		-1		-1		-1		-1		3		100			0		  1	  1	  1	  1	  1	  1	  0	  0	  1	  1	0
69	"Greater Mana"					0	35	30	0	5	0	0	9	0		0		0		4		32		-1		-1		-1		-1		1		100			0		  1	  1	  1	  1	  1	  1	  0	  0	  1	  1	0
70	"Invisibility"					0	80	60	0	0	0	0	18	0		0		0		5		192		-1		-1		-1		-1		1		100			0		  1	  1	  1	  1	  1	  1	  0	  0	  1	  1	0
71	"Remove Invisibility"				0	40	30	0	5	0	0	0	0		0		0		2		192		-1		-1		-1		-1		3		100			0		  1	  1	  1	  1	  1	  1	  0	  0	  1	  1	0
72	"Remove All Effect"				0	90	70	0	5	0	0	0	0		0		0		8		128		-1		-1		-1		-1		3		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
73	"Mana Rays"					85	130	7	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
74	"Fire Blast"					150	30	10	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
76	"Plasma Storm"					60	50	20	6	5	1500	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  2	  2	  2	  1	  1	  2	  1	  1	  2	  2	0
77	"Infinity Arrow"				0	50	10	0	0	0	0	6	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	0
78	"Fire Scream"					130	45	10	6	6	0	1	0	0		0		0		0		0		1		150		-1		-1		0		115			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
79	"Explosion"					0	0	0	2	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
200	"Monster Summon"				0	40	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
201	"Magic Damage Immunity"				0	40	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
202	"Physi Damage Immunity"				0	40	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
203	"Potion of Bless"				0	40	0	0	0	0	0	0	0		20		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
204	"Potion of Soul"				0	40	0	0	0	0	0	0	0		20		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0
210	"Order of Protection"				0	30	0	0	0	60000	0	0	0		0		0		5		0		-1		-1		-1		-1		1		100			0		  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	0
211	"Order of Restraint"				0	30	0	3	0	60000	0	0	0		0		0		5		0		-1		-1		-1		-1		2		100			0		  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	0
212	"Order of Tracking"				0	30	0	0	0	120000	0	0	0		0		0		10		0		-1		-1		-1		-1		0		100			0		  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	0
213	"Order of Weaken"				0	30	0	3	0	60000	0	0	0		0		0		5		0		-1		-1		-1		-1		0		100			0		  1	  1	  1	  1	  1	  1	  1	  1	  1	  1	0
214	"Drain Life"					35	50	0	6	0	0	5	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
215	"Chain Lightning"				70	85	0	6	3	0	4	0	0		0		0		0		0		4		200		-1		-1		0		105			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
217	"Damage Reflect"				0	40	10	5	0	5000	0	71	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
218	"Berserker"					0	100	50	5	0	5000	0	81	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
219	"Sleep"						0	20	3	6	0	0	0	72	0		0		0		0		0		-1		-1		-1		-1		2		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
221	"Lesser Damage"					0	50	15	8	5	30000	0	76	0		0		0		0		0		-1		-1		-1		-1		2		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
222	"Lesser Defense"				0	50	15	8	5	30000	0	77	0		0		0		0		0		-1		-1		-1		-1		2		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
223	"Sahamutt"					40	35	0	4	3	500	1	75	0		0		0		0		0		4		150		-1		-1		0		120			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
224	"Neil"						65	60	4	4	4	800	3	74	0		0		0		0		0		4		150		-1		-1		0		125			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
225	"Ghost Phantom"					80	70	8	4	5	500	4	56	0		0		0		0		0		4		150		-1		-1		0		125			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
230	"Red Storm"					95	115	7	6	5	0	4	85	0		0		0		0		0		4		200		-1		-1		0		105			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	0
//Index  Name						Damage  MP      BP      Range   Radio   Delay   Type	Effect	ReqLevel	ReqEnergy	ReqLeadership	ReqKillCount	ReqGuildStatus	DivisionStat1	DivisionValue1	DivisionStat2	DivisionValue2	SkillDamageType	ElementImprintBonus	AddDamageOption   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL	GC
232	"Frozen Stab"					110	30	24	5	3	0	2	86	0		0		0		0		0		1		150		-1		-1		0		135			0		  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	0
233	"Magic Circle"					0	200	50	6	0	0	0	82	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  2	  0	  0	  0	  0	  0	  0	  0	  2	  0	0
234	"Shield Recover"				0	40	10	6	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		3		100			0		  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	0
235	"Multi Shot"					40	10	7	6	6	0	4	0	0		0		0		0		0		2		200		-1		-1		0		105			0		  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	0
236	"Sword Slash"					140	20	25	3	5	0	1	83	0		0		0		0		0		1		200		-1		-1		0		135			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
237	"Lightning Storm"				110	120	10	6	6	0	4	84	0		0		0		0		0		4		250		-1		-1		0		115			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
238	"Birds"						190	50	15	6	6	0	5	0	0		0		0		0		0		1		150		-1		-1		0		105			0		  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	0
239	"Self Explosion"				140	20	25	3	3	0	1	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	0
260	"Large Ring Blower"				0	9	0	2	0	0	3	76	0		0		0		0		0		3		200		-1		-1		0		155			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
261	"Upper Beast"					0	9	0	2	0	0	1	58	0		0		0		0		0		3		200		-1		-1		0		155			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
262	"Chain Driver"					0	15	20	4	0	700	2	86	0		0		0		0		0		-1		-1		-1		-1		0		105			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
263	"Dark Side"					0	70	0	5	3	0	3	0	0		0		0		0		0		-1		-1		-1		-1		0		115			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
264	"Dragon Lore"					0	50	30	3	5	700	3	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
265	"Dragon Slayer"					0	100	100	4	0	3000	4	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
266	"Greater Ignore Damage Rate"			0	50	10	3	0	0	0	129	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
267	"Fitness"					0	50	10	7	5	0	0	130	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
268	"Greater Defense Success Rate"			0	50	10	7	5	0	0	131	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
269	"Charge"					90	20	15	4	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
270	"Phoenix Shot"					0	30	0	4	3	1200	4	132	0		0		0		0		0		3		200		-1		-1		0		125			0		  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0
271	"Spin Step"					100	12	0	2	2	500	2	0	0		0		0		0		0		2		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
272	"Circle Shield"					0	100	50	0	0	0	0	216	0		0		0		0		0		2		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
273	"Obsidian"					0	50	50	0	5	0	0	217	0		0		0		0		0		1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
274	"Magic Pin"					80	30	20	2	0	500	2	0	0		0		0		0		0		2		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
275	"Clash"						50	50	50	6	0	10000	0	0	0		0		0		0		0		1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
276	"Harsh Strike"					100	12	0	3	0	500	1	0	0		0		0		0		0		1		30		-1		-1		0		110			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
277	"Shining Peak"					70	50	20	4	4	0	4	0	0		0		0		0		0		1		-1		-1		-1		0		110			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
278	"Wrath"						0	100	50	0	0	60000	0	218	0		0		0		0		0		2		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	0
279	"Breche"					400	40	20	3	3	500	1	83	0		0		0		0		0		2		-1		-1		-1		0		110			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0
280	"Spin Step Explosion"				50	0	0	2	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		110			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0
281	"Magic Pin Explosion"				0	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0
282	"Spirit Hook"					255	27	21	3	2	0	2	0	0		0		0		0		0		3		10		-1		-1		0		105			1		  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0
283	"Magic Arrow"					45	15	5	8	8	0	5	0	0		0		0		0		0		4		500		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0
284	"Plasma Ball"					100	120	35	8	4	4000	5	0	0		0		0		0		0		4		200		-1		-1		0		110			0		  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0
285	"Shock Blast"					220	80	37	8	4	0	5	0	0		0		0		0		0		4		100		-1		-1		0		115			1		  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0
286	"Might"						0	50	0	0	0	60000	0	293	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	0
287	"Haste"						0	0	50	0	7	60000	0	294	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	0
288	"Death Scythe"					75	120	20	6	6	0	5	306	0		0		0		0		0		4		150		-1		-1		0		125			1		  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0
289	"Darkness"					0	100	50	5	0	5000	0	301	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0
291	"Elite Monster Skill"				0	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
292	"Sword Inertia"					10	5	0	6	6	0	5	0	0		0		0		0		0		2		150		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0
293	"Bat Flock"					90	20	5	6	6	0	5	315	0		0		0		0		0		2		150		-1		-1		0		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0
294	"Pierce Attack"					170	30	10	6	3	0	5	0	0		0		0		0		0		2		150		-1		-1		0		120			1		  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0
295	"Detection"					0	100	100	0	0	5000	0	316	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0
297	"Demolish"					0	50	0	0	5	60000	0	317	0		0		0		0		0		-1		-1		-1		-1		1		100			0		  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0
300	"Add Item Durability Rate"			37	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
301	"Add Defense Success Rate PvP"			12	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
302	"Add Max SD"					13	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
303	"Add MP Recovery Rate"				7	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
304	"Add Poison Resistance"				1	0	0	0	0	0	5	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
305	"Add Item Durability Rate"			17	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
306	"Add SD Recovery Rate"				1	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
307	"Add HP Recovery Rate"				1	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
308	"Add Lightning Resistance"			1	0	0	0	0	0	2	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
309	"Add Defense"					16	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
310	"Add BP Recovery Rate"				1	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
311	"Add Ice Resistance"				1	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
312	"Add Item Durability Rate"			17	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
313	"Add Defense Success Rate"			1	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
314	"Cast Invincibility"				38	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
315	"Add Armor Set Bonus"				3	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
316	"Add Reflect Damage"				38	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  3
317	"Add Energy"					40	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
318	"Add Vitality"					40	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
319	"Add Agility"					40	0	0	0	0	0	0	0	0		0		0		0		0		-1		-1		-1		-1		0		100			0		  3	  3	  3	  3	  3	  3	  0	  3	  3	  3	  0
