//|================================================================|
//| CashShop Editor  - Season 18                                   |
//| By OMEGA and Oliveira                                          |
//|================================================================|
//Cat	ID	Main	Item	Coin	Price	Bonus	isGift	PBase1	PBase2	PBase3	PBase4	PBase5	PBase6	PBase7	PBase8	PBase9	PBase10	PMain1	PMain2	PMain3	PMain4	PMain5	PMain6	PMain7	PMain8	PMain9	PMain10	Comment
35	143	143	1	508	225	0	1	1430	0	0	0	0	0	0	0	0	0	1430	0	0	0	0	0	0	0	0	0	// Premium Muun Egg
36	118	118	1	508	40	0	1	1180	0	0	0	0	0	0	0	0	0	1180	0	0	0	0	0	0	0	0	0	// Seal of Ascension
36	119	119	1	508	45	0	1	1190	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	// Seal of Wealth
36	120	120	1	508	35	0	1	1200	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	// Seal of Divinity
36	121	121	1	508	45	0	1	1210	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	// Master Seal of Ascension
36	122	122	1	508	50	0	1	1220	0	0	0	0	0	0	0	0	0	1220	0	0	0	0	0	0	0	0	0	// Master Seal of Wealth
36	123	123	1	508	30	0	1	1230	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	// Talisman of Item Protection
36	124	124	1	508	45	0	1	1240	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	// Seal of Healing
36	125	125	1	508	435	0	1	1250	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	0	// Talisman of Ascension I
36	126	126	1	508	875	0	1	1260	0	0	0	0	0	0	0	0	0	1260	0	0	0	0	0	0	0	0	0	// Talisman of Ascension II
36	127	127	1	508	150	0	1	1270	0	0	0	0	0	0	0	0	0	1270	0	0	0	0	0	0	0	0	0	// Bless of Light (Low Grade)
36	128	128	1	508	250	0	1	1280	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	// Bless of Light (Middle Grade)
36	129	129	1	508	500	0	1	1290	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	0	0	0	0	0	// Bless of Light (Greater)
37	180	180	1	508	15	0	1	1800	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	0	0	0	// Devil Square Ticket
37	181	181	1	508	15	0	1	1810	0	0	0	0	0	0	0	0	0	1810	0	0	0	0	0	0	0	0	0	// Blood Castle Ticket
37	182	182	1	508	20	0	1	1820	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	// Kalima Ticket
37	183	183	1	508	20	0	1	1830	0	0	0	0	0	0	0	0	0	1830	0	0	0	0	0	0	0	0	0	// Varka Renewal Ticket
37	184	184	1	508	75	0	1	1840	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	// Boss Battle Event Ticket
37	185	185	1	508	75	0	1	1850	0	0	0	0	0	0	0	0	0	1850	0	0	0	0	0	0	0	0	0	// Elena's Letter
37	186	186	1	508	150	0	1	1860	0	0	0	0	0	0	0	0	0	1860	0	0	0	0	0	0	0	0	0	// Moonstone Pendant
38	144	144	1	508	30	0	1	1440	0	0	0	0	0	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	// Wizards Ring
38	145	145	1	508	40	0	1	1450	0	0	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	0	// Skeleton Transformation Ring
38	146	146	1	508	40	0	1	1460	0	0	0	0	0	0	0	0	0	1460	0	0	0	0	0	0	0	0	0	// Great Heavenly Mage Ring
38	147	147	1	508	40	0	1	1470	0	0	0	0	0	0	0	0	0	1470	0	0	0	0	0	0	0	0	0	// Robot Knight Ring
38	148	148	1	508	30	0	1	1480	0	0	0	0	0	0	0	0	0	1480	0	0	0	0	0	0	0	0	0	// Panda Ring
38	149	149	1	508	90	0	1	1490	0	0	0	0	0	0	0	0	0	1490	0	0	0	0	0	0	0	0	0	// Brown Panda Ring
38	150	150	1	508	100	0	1	1500	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	// Pink Panda Ring
38	151	151	1	508	12	0	1	1510	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	// Sapphire Ring
38	152	152	1	508	12	0	1	1520	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	// Topaz Ring
38	153	153	1	508	12	0	1	1530	0	0	0	0	0	0	0	0	0	1530	0	0	0	0	0	0	0	0	0	// Amethyst Ring
38	154	154	1	508	12	0	1	1540	0	0	0	0	0	0	0	0	0	1540	0	0	0	0	0	0	0	0	0	// Emerald Necklace
38	155	155	1	508	12	0	1	1550	0	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	// Ruby Necklace
38	156	156	1	508	12	0	1	1560	0	0	0	0	0	0	0	0	0	1560	0	0	0	0	0	0	0	0	0	// Sapphire Necklace
38	157	157	1	508	30	0	1	1570	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0	0	0	0	0	// Worn Horseshoe
38	158	158	1	508	195	0	1	1580	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	// 2nd Lucky Helm Ticket
38	159	159	1	508	195	0	1	1590	0	0	0	0	0	0	0	0	0	1590	0	0	0	0	0	0	0	0	0	// 2nd Lucky Armor Ticket
38	160	160	1	508	195	0	1	1600	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	// 2nd Lucky Pants Ticket
38	161	161	1	508	195	0	1	1610	0	0	0	0	0	0	0	0	0	1610	0	0	0	0	0	0	0	0	0	// 2nd Lucky Gloves Ticket
38	162	162	1	508	195	0	1	1620	0	0	0	0	0	0	0	0	0	1620	0	0	0	0	0	0	0	0	0	// 2nd Lucky Boots Ticket
39	164	164	1	508	15	0	1	1640	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	// Talisman of Luck
39	165	165	1	508	300	0	1	1650	0	0	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	// Talisman of Chaos Assembly
39	166	166	1	508	1000	0	1	1660	0	0	0	0	0	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	// [Bound]Finished Loch's Magic Solution
39	167	167	1	508	3000	0	1	1670	0	0	0	0	0	0	0	0	0	1670	0	0	0	0	0	0	0	0	0	// [Bound]Finished Condor's Magic Solution
39	168	168	1	508	100	0	1	1680	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	0	0	0	0	0	// Elemental Talisman of Luck
39	169	169	1	508	100	0	1	1690	0	0	0	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	0	0	// Elemental Talisman of Chaos
40	170	170	1	508	20	0	1	1700	0	0	0	0	0	0	0	0	0	1700	0	0	0	0	0	0	0	0	0	// Reset Fruit STR
40	171	171	1	508	20	0	1	1710	0	0	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	// Reset Fruit AGI
40	172	172	1	508	20	0	1	1720	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	0	0	0	0	// Reset Fruit VIT
40	173	173	1	508	20	0	1	1730	0	0	0	0	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	// Reset Fruit ENE
40	174	174	1	508	20	0	1	1740	0	0	0	0	0	0	0	0	0	1740	0	0	0	0	0	0	0	0	0	// Reset Fruit CMD
40	175	175	1	508	150	0	1	1750	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	0	0	// Scroll of Green Oblivion
40	176	176	1	508	150	0	1	1760	0	0	0	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	// Scroll of Blue Oblivion
40	177	177	1	508	150	0	1	1770	0	0	0	0	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0	// Scroll of Red Oblivion
40	178	178	1	508	400	0	1	1780	0	0	0	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0	// Scroll of Gray Oblivion
40	179	179	1	508	500	0	1	1790	0	0	0	0	0	0	0	0	0	1790	0	0	0	0	0	0	0	0	0	// Scroll of Black Oblivion
61	189	189	1	509	1000	0	1	1890	0	0	0	0	0	0	0	0	0	1890	0	0	0	0	0	0	0	0	0	// Talisman Element Change
61	190	190	1	509	750	0	1	1900	0	0	0	0	0	0	0	0	0	1900	0	0	0	0	0	0	0	0	0	// Tradeable Seal
61	191	191	1	509	550	0	1	1910	0	0	0	0	0	0	0	0	0	1910	0	0	0	0	0	0	0	0	0	// Talisman of Item Protection
61	192	192	1	509	150	0	1	1920	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	0	0	0	// Silver Key
61	193	193	1	509	200	0	1	1930	0	0	0	0	0	0	0	0	0	1930	0	0	0	0	0	0	0	0	0	// Gold Key
62	194	194	1	509	400	0	1	1940	0	0	0	0	0	0	0	0	0	1940	0	0	0	0	0	0	0	0	0	// Seal of Ascension
62	195	195	1	509	450	0	1	1950	0	0	0	0	0	0	0	0	0	1950	0	0	0	0	0	0	0	0	0	// Master Seal of Ascension
62	196	196	1	509	450	0	1	1960	0	0	0	0	0	0	0	0	0	1960	0	0	0	0	0	0	0	0	0	// Seal of Wealth
62	197	197	1	509	500	0	1	1970	0	0	0	0	0	0	0	0	0	1970	0	0	0	0	0	0	0	0	0	// Master Seal of Wealth
63	198	198	1	509	150	0	1	1980	0	0	0	0	0	0	0	0	0	1980	0	0	0	0	0	0	0	0	0	// Scroll of Quickness
63	199	199	1	509	150	0	1	1990	0	0	0	0	0	0	0	0	0	1990	0	0	0	0	0	0	0	0	0	// Scroll of Defense
63	200	200	1	509	150	0	1	2000	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	// Scroll of Wrath
63	201	201	1	509	150	0	1	2010	0	0	0	0	0	0	0	0	0	2010	0	0	0	0	0	0	0	0	0	// Scroll of Wizardry
63	202	202	1	509	150	0	1	2020	0	0	0	0	0	0	0	0	0	2020	0	0	0	0	0	0	0	0	0	// Scroll of Health
63	203	203	1	509	150	0	1	2030	0	0	0	0	0	0	0	0	0	2030	0	0	0	0	0	0	0	0	0	// Scroll of Mana
63	204	204	1	509	150	0	1	2040	0	0	0	0	0	0	0	0	0	2040	0	0	0	0	0	0	0	0	0	// Scroll of Battle
63	205	205	1	509	150	0	1	2050	0	0	0	0	0	0	0	0	0	2050	0	0	0	0	0	0	0	0	0	// Scroll of Strength
64	206	206	1	509	200	0	1	2060	0	0	0	0	0	0	0	0	0	2060	0	0	0	0	0	0	0	0	0	// Demon
64	207	207	1	509	150	0	1	2070	0	0	0	0	0	0	0	0	0	2070	0	0	0	0	0	0	0	0	0	// Spirit of Guardian
64	208	208	1	509	150	0	1	2080	0	0	0	0	0	0	0	0	0	2080	0	0	0	0	0	0	0	0	0	// Wizards Ring
64	209	209	1	509	240	0	1	2090	0	0	0	0	0	0	0	0	0	2090	0	0	0	0	0	0	0	0	0	// Pet Panda
64	210	210	1	509	175	0	1	2100	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	0	0	// Panda Ring
64	211	211	1	509	260	0	1	2110	0	0	0	0	0	0	0	0	0	2110	0	0	0	0	0	0	0	0	0	// Pet Skeleton
64	212	212	1	509	180	0	1	2120	0	0	0	0	0	0	0	0	0	2120	0	0	0	0	0	0	0	0	0	// Skeleton Transformation Ring
65	214	214	1	509	450	0	1	2140	0	0	0	0	0	0	0	0	0	2140	0	0	0	0	0	0	0	0	0	// Talisman of Luck
65	215	215	1	509	650	0	1	2150	0	0	0	0	0	0	0	0	0	2150	0	0	0	0	0	0	0	0	0	// Talisman of Chaos Assembly
65	216	216	1	509	450	0	1	2160	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	0	0	0	0	0	// Elemental Talisman of Luck
65	217	217	1	509	650	0	1	2170	0	0	0	0	0	0	0	0	0	2170	0	0	0	0	0	0	0	0	0	// Elemental Talisman of Chaos
66	218	218	1	509	30	0	1	2180	0	0	0	0	0	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	// Reset Fruit STR
66	219	219	1	509	30	0	1	2190	0	0	0	0	0	0	0	0	0	2190	0	0	0	0	0	0	0	0	0	// Reset Fruit AGI
66	220	220	1	509	30	0	1	2200	0	0	0	0	0	0	0	0	0	2200	0	0	0	0	0	0	0	0	0	// Reset Fruit VIT
66	221	221	1	509	30	0	1	2210	0	0	0	0	0	0	0	0	0	2210	0	0	0	0	0	0	0	0	0	// Reset Fruit ENE
66	222	222	1	509	30	0	1	2220	0	0	0	0	0	0	0	0	0	2220	0	0	0	0	0	0	0	0	0	// Reset Fruit CMD
66	223	223	1	509	675	0	1	2230	0	0	0	0	0	0	0	0	0	2230	0	0	0	0	0	0	0	0	0	// Scroll of Green Oblivion
66	224	224	1	509	675	0	1	2240	0	0	0	0	0	0	0	0	0	2240	0	0	0	0	0	0	0	0	0	// Scroll of Blue Oblivion
66	225	225	1	509	675	0	1	2250	0	0	0	0	0	0	0	0	0	2250	0	0	0	0	0	0	0	0	0	// Scroll of Red Oblivion
66	226	226	1	509	2025	0	1	2260	0	0	0	0	0	0	0	0	0	2260	0	0	0	0	0	0	0	0	0	// Scroll of Gray Oblivion
66	227	227	1	509	2025	0	1	2270	0	0	0	0	0	0	0	0	0	2270	0	0	0	0	0	0	0	0	0	// Scroll of Black Oblivion
end
